0906-0800,9.4,228,9.4
0906-0830,7.7,216,7.7
0906-0900,8.8,233,8.9
0906-0930,9.8,229,9.9
0906-1000,9.9,236,9.9
0906-1030,11,233,11
0906-1100,10.8,235,10.8
0906-1130,12.1,247,12.1
0906-1200,12.3,255,12.3
0906-1230,11.4,262,12.2
0906-1300,12.3,261,13.1
0906-1330,12.9,265,12.9
0906-1400,11.5,275,11.6
0906-1430,11,280,12.5
0906-1500,11.7,285,11.7
0906-1530,11.4,283,11.4
0906-1600,10.3,290,11.5
0906-1630,10.5,295,11.9
0906-1700,9.6,295,10.4
0906-1730,9.1,308,10.6
0906-1800,8,301,10
0906-1830,8.9,301,9.8
0906-1900,7.5,307,7.6
0906-1930,7.1,297,9.8
0906-2000,6.3,299,6.7
0906-2030,5.9,323,9.6
0906-2100,4.7,321,8.9
0906-2130,4.4,320,8.4
0906-2200,5.2,312,8.2
0906-2230,4.1,314,7.5
0906-2300,3.1,314,4.5
0907--070,3.1,030,3.9
0907-0000,3.3,030,3.3
0907-0030,3.3,013,4.2
0907-0100,4.3,350,6.3
0907-0130,4.3,332,7.2
0907-0200,3.2,359,4.1
0907-0230,2.5,022,2.9
0907-0300,2.5,045,2.5
0907-0330,2.4,053,2.4
0907-0400,3.2,068,3.2
0907-0430,3.3,060,3.3
0907-0500,1.1,096,2.4
0907-0530,6.8,244,6.8
0907-0600,7.5,247,7.5
0907-0630,4.8,224,5.2
0907-0700,3.9,165,5.2
0907-0730,3.6,158,6.6
0907-0800,2.8,165,6.9
0907-0830,2.6,204,6.8
0907-0900,2.7,235,7.5
0907-0930,9.3,246,9.3
0907-1000,11.1,246,11.1
0907-1030,11.1,251,11.1
0907-1100,11.5,255,11.5
0907-1130,10.5,268,10.6
0907-1200,10.3,279,10.3
0907-1230,9.7,283,9.7
0907-1300,9.9,296,9.8
0907-1330,9.6,308,10.2
0907-1400,11,317,11
0907-1430,11,321,11.4
0907-1500,12.5,322,12.5
0907-1530,12.4,327,12.6
0907-1600,13,332,14
0907-1630,13.8,335,15.3
0907-1700,14.5,339,15.9
0907-1730,14.9,341,16.6
0907-1800,14.5,343,17
0907-1830,14.4,344,17.1
0907-1900,14,346,17.5
0907-1930,13.4,345,17
0907-2000,12.5,344,15.7
0907-2030,11.5,345,14.5
0907-2100,11.2,346,14.3
0907-2130,11.5,344,15.1
0907-2200,11.4,340,16
0907-2230,12.2,338,14.3
0907-2300,13.5,336,16.3
