0901-0800,1.7,186,3.7
0901-0830,2.6,226,3.1
0901-0900,3.5,257,3.5
0901-0930,5.2,269,5.2
0901-1000,6.2,274,6.2
0901-1030,7.1,278,7.1
0901-1100,7.4,280,7.4
0901-1130,7.7,290,7.7
0901-1200,9.3,289,9.3
0901-1230,9.4,295,9.4
0901-1300,10.8,301,10.8
0901-1330,11.1,307,11.1
0901-1400,11.8,311,11.8
0901-1430,11.8,316,11.8
0901-1500,11.8,318,11.8
0901-1530,12.5,320,12.5
0901-1600,11.7,322,11.7
0901-1630,11.6,323,11.6
0901-1700,11.2,332,11.2
0901-1730,12.4,329,12.3
0901-1800,12.3,333,12.3
0901-1830,10.9,340,11.3
0901-1900,10.3,340,11.2
0901-1930,9.2,346,10.9
0901-2000,9,348,11
0901-2030,8.7,349,10.9
0901-2100,8.4,351,11.7
0901-2130,7,005,11.7
0901-2200,6.7,005,11.9
0901-2230,6.6,001,12.4
0901-2300,6.8,358,11.4
0902--070,6.3,359,11.6
0902-0000,6,358,11.1
0902-0030,5.6,358,10.6
0902-0100,5.3,359,10.2
0902-0130,5.3,002,10.3
0902-0200,4.9,004,10.2
0902-0230,4.6,004,10.2
0902-0300,4.2,006,9.7
0902-0330,3.6,005,9.4
0902-0400,3.4,007,8.8
0902-0430,3.4,011,8.7
0902-0500,3.3,016,8.8
0902-0530,3.4,013,9
0902-0600,3.4,012,9.1
0902-0630,3.1,012,7.7
0902-0700,2.9,002,6.8
0902-0730,2.6,350,6.8
0902-0800,2.8,333,6.9
0902-0830,5.4,312,6
0902-0900,6.3,307,6.3
0902-0930,6.2,299,6.2
0902-1000,6.6,289,6.6
0902-1030,7.2,287,7.2
0902-1100,7.8,289,7.8
0902-1130,9,292,9
0902-1200,9.4,294,9.4
0902-1230,9.9,304,9.9
0902-1300,10.8,312,10.8
0902-1330,12.1,319,12.1
0902-1400,12.2,322,12.1
0902-1430,12.8,325,12.8
0902-1500,13.3,326,13.3
0902-1530,14.1,326,14.1
0902-1600,13.9,329,14
0902-1630,13.9,333,13.9
0902-1700,14,334,14.8
0902-1730,14.1,336,15.5
0902-1800,14.2,337,15.8
0902-1830,13.6,338,15.8
0902-1900,12.8,339,15.8
0902-1930,12.2,339,15.7
0902-2000,11.8,341,15.7
0902-2030,10.9,344,15.6
0902-2100,10.4,341,15.5
0902-2130,10,340,15.2
0902-2200,9.5,339,13.9
0902-2230,8.9,340,13.7
0902-2300,8.7,333,12.7
