0823-0800,6.5,202,6.5
0823-0830,7.3,218,7.3
0823-0900,8.5,225,8.5
0823-0930,8.4,231,8.4
0823-1000,9.9,235,9.9
0823-1030,10.4,239,10.4
0823-1100,8,257,8
0823-1130,9.4,256,9.4
0823-1200,9.5,268,9.5
0823-1230,10,273,10.8
0823-1300,10.5,279,10.5
0823-1330,10.6,288,10.6
0823-1400,10.7,290,10.7
0823-1430,11.3,299,11.3
0823-1500,11.2,308,11.2
0823-1530,10.8,312,10.8
0823-1600,10.2,317,11
0823-1630,9.8,321,10.8
0823-1700,9.4,328,10.2
0823-1730,9.1,333,10.4
0823-1800,8.8,338,10.3
0823-1830,8,343,10.3
0823-1900,8.2,347,8.4
0823-1930,6.1,009,9.4
0823-2000,6.7,360,7.8
0823-2030,5.9,007,7.4
0823-2100,5.2,009,6.8
0823-2130,3.9,021,6.6
0823-2200,4.1,354,4.2
0823-2230,2.7,004,4.7
0823-2300,2,346,4.1
0824--070,1.7,324,2.4
0824-0000,1,306,3.1
0824-0030,2,315,3.9
0824-0100,2,315,3.8
0824-0130,1,328,3.3
0824-0200,3.6,134,3.6
0824-0230,4.2,133,4.2
0824-0300,4.3,139,4.3
0824-0330,4.9,142,4.9
0824-0400,5.3,146,5.3
0824-0430,5.7,148,5.7
0824-0500,6.6,148,6.6
0824-0530,7.1,148,7.1
0824-0600,7.3,151,7.3
0824-0630,7.3,152,7.3
0824-0700,6.7,157,6.7
0824-0730,5.9,156,5.9
0824-0800,4.7,183,5.1
0824-0830,4.6,214,4.6
0824-0900,5.4,232,5.5
0824-0930,7.2,237,7.2
0824-1000,7.4,245,7.4
0824-1030,7.5,251,7.5
0824-1100,8.3,255,8.2
0824-1130,9.1,259,9.1
0824-1200,8.7,269,8.7
0824-1230,8.8,281,8.8
0824-1300,8.6,284,8.6
0824-1330,9.1,293,9.1
0824-1400,10.2,299,10.2
0824-1430,11.1,303,11.1
0824-1500,10.7,306,10.7
0824-1530,10.5,313,10.9
0824-1600,10.7,320,10.7
0824-1630,11,326,11
0824-1700,11.3,331,11.3
0824-1730,11.8,335,11.8
0824-1800,9.8,344,12
0824-1830,10.2,349,11.8
0824-1900,10.2,352,12.1
0824-1930,9.7,357,11.1
0824-2000,9.3,001,10.5
0824-2030,9,359,9.8
0824-2100,7.9,007,8.7
0824-2130,6.6,021,8
0824-2200,6.3,021,7.2
0824-2230,4.7,046,6.4
0824-2300,4,053,4.8
