0828-0800,5.1,159,5.1
0828-0830,6,195,6
0828-0900,7.1,215,7.1
0828-0930,7.3,227,7.5
0828-1000,9.3,225,9.3
0828-1030,8.2,234,8.6
0828-1100,8.8,239,8.8
0828-1130,9.9,245,9.9
0828-1200,9.9,259,9.9
0828-1230,10.5,264,10.5
0828-1300,11.1,261,11.1
0828-1330,10.3,272,10.3
0828-1400,10.8,282,10.8
0828-1430,10.6,287,11.3
0828-1500,10.6,292,10.9
0828-1530,10,299,11
0828-1600,9.9,305,11.1
0828-1630,9.6,309,10.8
0828-1700,8.5,316,11
0828-1730,8.3,325,10.1
0828-1800,7.8,332,8.7
0828-1830,6,337,7.2
0828-1900,5.3,344,7
0828-1930,3.7,004,5.9
0828-2000,3.5,020,4.3
0828-2030,2.8,035,4.1
0828-2100,2.5,056,3.7
0828-2130,2.6,072,2.6
0828-2200,1.4,085,2.1
0828-2230,1.7,108,2.1
0828-2300,2.6,123,2.6
0829--070,4.4,131,4.4
0829-0000,5.3,127,5.3
0829-0030,5.9,129,5.9
0829-0100,6.7,132,6.7
0829-0130,6.1,136,6.1
0829-0200,3.9,178,3.8
0829-0230,5.1,208,5.1
0829-0300,6.3,226,6.7
0829-0330,7.4,224,7.4
0829-0400,7.5,211,8.4
0829-0430,8.1,196,8.6
0829-0500,7.9,192,8.8
0829-0530,8.2,186,8.2
0829-0600,9.3,180,9.3
0829-0630,10.2,176,10.1
0829-0700,9.5,174,11.2
0829-0730,8.2,173,11.5
0829-0800,8.1,185,10
0829-0830,7.4,205,9.4
0829-0900,10.3,223,11
0829-0930,12.2,226,12.3
0829-1000,12.4,226,13.7
0829-1030,13,229,13.1
0829-1100,12.9,231,13.8
0829-1130,13.4,236,14.2
0829-1200,12.1,239,14.8
0829-1230,13,243,14.8
0829-1300,13.7,250,16.7
0829-1330,12.9,251,16.7
0829-1400,13.1,253,17.8
0829-1430,13.6,254,19.2
0829-1500,10.3,252,18.6
0829-1530,9.1,255,13.1
0829-1600,6.1,261,11.2
0829-1630,3.7,268,5.2
0829-1700,4.5,284,7
0829-1730,5.4,284,13.6
0829-1800,6.6,272,15.4
0829-1830,11.7,260,16.2
0829-1900,12.9,254,16.6
0829-1930,13,261,18.7
0829-2000,13.8,264,17.4
0829-2030,13.6,284,18.7
0829-2100,17.5,275,20.6
0829-2130,17,274,17
0829-2200,16,276,16
0829-2230,16.1,274,16.1
0829-2300,15.6,274,15.6
