0825-0800,5,186,5
0825-0830,4.4,207,4.4
0825-0900,3.8,223,3.8
0825-0930,4.2,240,4.2
0825-1000,5.7,244,5.7
0825-1030,6.9,249,6.9
0825-1100,8,253,8
0825-1130,7.9,272,7.9
0825-1200,8.2,271,8.2
0825-1230,8.3,284,8.3
0825-1300,8.6,291,8.6
0825-1330,8.9,298,8.9
0825-1400,9.7,306,9.7
0825-1430,10.2,309,10.7
0825-1500,10.1,315,11.6
0825-1530,10.9,320,12
0825-1600,11,325,12.5
0825-1630,10.9,330,10.9
0825-1700,11.1,335,11.5
0825-1730,10.6,339,11.7
0825-1800,10.2,343,11.7
0825-1830,9.6,353,11.4
0825-1900,8.6,003,11.2
0825-1930,8.2,008,9.8
0825-2000,7.8,014,10.3
0825-2030,7.5,020,9
0825-2100,7.2,024,8.6
0825-2130,6.3,028,7.8
0825-2200,5,031,6.9
0825-2230,3.4,053,5.4
0825-2300,2.1,086,2.1
0826--070,1.7,142,1.7
0826-0000,2.6,152,2.6
0826-0030,3.8,150,3.8
0826-0100,4.9,150,5
0826-0130,5.7,156,5.7
0826-0200,5.6,158,5.6
0826-0230,5.4,165,5.4
0826-0300,4.9,176,4.9
0826-0330,4.4,183,4.4
0826-0400,4.5,184,4.5
0826-0430,4.9,175,4.9
0826-0500,5.4,164,5.4
0826-0530,6,155,6
0826-0600,6.8,152,6.8
0826-0630,7.5,151,7.6
0826-0700,6.8,157,6.8
0826-0730,6.3,160,6.3
0826-0800,5.6,168,5.6
0826-0830,4,187,5
0826-0900,5.2,212,5.2
0826-0930,5.5,236,5.5
0826-1000,7.2,246,7.2
0826-1030,6.7,246,7.6
0826-1100,7.7,254,7.7
0826-1130,9.7,261,9.7
0826-1200,8.6,262,9.2
0826-1230,8.5,278,9.6
0826-1300,8.8,290,9.6
0826-1330,9.5,296,9.5
0826-1400,9,303,9.2
0826-1430,8.9,312,9.7
0826-1500,9.7,318,10.8
0826-1530,9.9,325,10.8
0826-1600,9.5,328,11.3
0826-1630,9.5,333,11.3
0826-1700,9.6,341,10.8
0826-1730,9.5,348,11.3
0826-1800,9.6,357,10.8
0826-1830,9.3,006,10.7
0826-1900,8.8,007,9.5
0826-1930,7.2,017,9.9
0826-2000,7.1,018,8.8
0826-2030,6.5,024,8
0826-2100,6.1,027,6.7
0826-2130,4.9,022,6.6
0826-2200,4.6,016,5.4
0826-2230,3.8,014,4.1
0826-2300,2.7,009,3
