0831-0800,4.3,173,4.3
0831-0830,3.8,212,4
0831-0900,4.1,229,4.2
0831-0930,4.1,234,4.3
0831-1000,6.6,255,6.6
0831-1030,6.9,256,6.9
0831-1100,7,257,7
0831-1130,7.7,258,7.7
0831-1200,7.9,259,7.9
0831-1230,8.6,270,8.6
0831-1300,8.2,275,8.2
0831-1330,8.9,269,8.9
0831-1400,8.6,278,8.6
0831-1430,8.4,277,8.6
0831-1500,9,286,9
0831-1530,10.5,287,10.5
0831-1600,10.4,293,10.4
0831-1630,10,297,10
0831-1700,9.6,296,9.6
0831-1730,9.8,298,9.7
0831-1800,10.4,305,10.4
0831-1830,10,310,10
0831-1900,10.4,312,10.4
0831-1930,9,321,9
0831-2000,8.4,327,8.4
0831-2030,7.1,335,7.3
0831-2100,6.7,338,7.1
0831-2130,7.7,335,7.7
0831-2200,5.9,344,6.5
0831-2230,7,336,7
0831-2300,4.5,350,5.5
0832--070,5.5,345,5.7
0832-0000,5.4,357,5.4
0832-0030,4.8,358,4.9
0832-0100,3.7,013,4.4
0832-0130,2.9,018,4.5
0832-0200,2.7,020,4.1
0832-0230,2.5,041,3.2
0901-0300,2.8,034,5
0901-0330,3.4,353,5
0901-0400,5,337,5.4
0901-0430,5.8,340,5.8
0901-0500,4.1,007,5.6
0901-0530,4,028,5
0901-0600,3.4,038,3.5
0901-0630,3.3,046,3.7
0901-0700,2.8,058,2.8
0901-0730,1.2,038,3.6
0901-0800,2.5,271,3.7
0901-0830,4.2,233,4.2
0901-0900,4.9,244,4.9
0901-0930,6.1,247,6.1
0901-1000,6.1,258,6.1
0901-1030,6.7,257,6.7
0901-1100,7.2,260,7.2
0901-1130,7.7,265,7.7
0901-1200,7.9,282,7.9
0901-1230,8.4,288,8.4
0901-1300,9.7,292,9.7
0901-1330,9.1,296,9.7
0901-1400,9.9,303,9.9
0901-1430,10,310,10
0901-1500,10.6,316,10.6
0901-1530,10.4,323,10.4
0901-1600,12,331,12
0901-1630,12.3,333,12.3
0901-1700,12,337,12
0901-1730,12.6,341,12.5
0901-1800,11.9,347,11.9
0901-1830,13.1,345,13.1
0901-1900,12,352,12
0901-1930,11.4,355,11.6
0901-2000,12.3,355,12.7
0901-2030,12,357,12
0901-2100,11.4,003,11.5
0901-2130,10.7,002,10.8
0901-2200,10.7,358,11.6
0901-2230,10.4,002,10.4
0901-2300,9.7,355,10.9
