0819-0800,4.7,307,4.7
0819-0830,6,311,6
0819-0900,4.3,311,4.3
0819-0930,5.7,315,5.7
0819-1000,6.1,300,6.1
0819-1030,6.7,304,6.7
0819-1100,7.6,297,7.6
0819-1130,7.8,301,7.8
0819-1200,9.6,309,9.6
0819-1230,8.9,304,8.9
0819-1300,9.9,309,9.9
0819-1330,11.2,314,11.2
0819-1400,11,311,10.9
0819-1430,11.5,321,11.5
0819-1500,11.3,324,11.3
0819-1530,11.8,321,11.8
0819-1600,12.5,331,12.5
0819-1630,13.9,335,13.9
0819-1700,12.9,336,12.9
0819-1730,13.8,343,13.8
0819-1800,13.9,346,13.9
0819-1830,13.6,345,13.6
0819-1900,12.8,352,12.9
0819-1930,13.1,347,13.2
0819-2000,12.6,352,13.3
0819-2030,12.7,356,13.2
0819-2100,11.6,355,15.3
0819-2130,11.2,354,13.8
0819-2200,11.6,353,12.9
0819-2230,11,356,12.7
0819-2300,12.9,355,13.1
0820--070,10.4,352,13.1
0820-0000,10.3,353,11.1
0820-0030,12.5,353,12.5
0820-0100,8.9,357,11.2
0820-0130,9.1,355,10.4
0820-0200,10.4,340,10.4
0820-0230,7.8,346,10.1
0820-0300,7.9,348,10.5
0820-0330,10.3,334,10.5
0820-0400,9.4,342,10.1
0820-0430,9.3,343,9.3
0820-0500,10.3,348,10.3
0820-0530,8.2,353,10.6
0820-0600,9.1,347,10.7
0820-0630,7.6,356,10.8
0820-0700,7.5,344,9.6
0820-0730,7.3,342,10.5
0820-0800,6.9,336,11.2
0820-0830,6.4,330,10.9
0820-0900,6.1,331,7.5
0820-0930,6.9,312,6.9
0820-1000,7.3,313,7.5
0820-1030,7.8,315,8.3
0820-1100,8.7,312,9.1
0820-1130,9.9,314,9.9
0820-1200,10.4,316,10.4
0820-1230,10.9,319,10.9
0820-1300,10.7,323,10.9
0820-1330,12.7,328,12.7
0820-1400,13.6,334,14.3
0820-1430,15.4,338,16.1
0820-1500,16,340,17.6
0820-1530,16.6,343,18.3
0820-1600,17.1,347,19.1
0820-1630,17.2,349,20.4
0820-1700,18.6,350,21.8
0820-1730,18.5,353,22.8
0820-1800,18.6,355,23.7
0820-1830,18.1,357,24
0820-1900,17.1,358,24.2
0820-1930,16.2,360,22.8
0820-2000,15.8,359,23.5
0820-2030,15.2,357,22.5
0820-2100,14.6,358,21.6
0820-2130,14.5,358,21.1
0820-2200,14.3,359,21
0820-2230,14.1,360,20.8
0820-2300,14,359,20.7
