0823-0800,12.7,206,12.7
0823-0830,11.6,211,11.6
0823-0900,11.4,212,11.9
0823-0930,12.5,219,12.5
0823-1000,12.6,218,12.6
0823-1030,12.4,220,12.4
0823-1100,12.5,226,12.5
0823-1130,13.3,229,13.3
0823-1200,11.5,229,11.9
0823-1230,11.6,238,12.1
0823-1300,11.9,244,11.9
0823-1330,11.2,247,11.2
0823-1400,11.1,254,11.5
0823-1430,10.8,261,10.9
0823-1500,9.9,270,9.9
0823-1530,8.5,272,9.8
0823-1600,8.7,276,9.5
0823-1630,8.1,279,9.9
0823-1700,6.4,281,9
0823-1730,7.5,286,9.2
0823-1800,6.3,292,7.9
0823-1830,7.1,294,7.1
0823-1900,5.8,301,8.9
0823-1930,5.1,298,8
0823-2000,4.3,296,4.9
0823-2030,4.5,301,5.9
0823-2100,4.2,295,5.7
0823-2130,4.2,292,4.8
0823-2200,4.1,288,4.7
0823-2230,4.5,287,6.1
0823-2300,4.4,276,5.2
0824--070,4.7,268,5
0824-0000,5,265,5.5
0824-0030,5,256,5.3
0824-0100,5.4,247,5.6
0824-0130,5.8,238,6.1
0824-0200,7,241,7
0824-0230,6.5,237,6.5
0824-0300,6,224,6
0824-0330,6.2,224,6.3
0824-0400,6.7,208,6.7
0824-0430,7.6,193,8.4
0824-0500,7.7,189,9
0824-0530,8.9,189,9.1
0824-0600,9,190,9.3
0824-0630,9.4,185,9.4
0824-0700,9.4,182,10.9
0824-0730,9.6,190,10.3
0824-0800,10,197,10.6
0824-0830,11.1,200,11.2
0824-0900,11,203,11.7
0824-0930,12.2,201,12.2
0824-1000,10.8,207,10.8
0824-1030,10.7,224,10.7
0824-1100,10.7,228,10.7
0824-1130,11.1,231,11.1
0824-1200,10.9,235,10.9
0824-1230,10,241,10
0824-1300,11.3,246,11.3
0824-1330,10.7,250,10.7
0824-1400,9.8,254,9.8
0824-1430,9.4,261,9.4
0824-1500,9.2,266,10
0824-1530,8,272,9.8
0824-1600,8.8,288,10
0824-1630,8.2,293,10.1
0824-1700,7.2,298,9.9
0824-1730,6.1,309,9.4
0824-1800,7.2,306,8.7
0824-1830,6.9,325,8.9
0824-1900,6.8,333,9.5
0824-1930,5.6,344,8.6
0824-2000,5.9,348,8.3
0824-2030,6,359,8.5
0824-2100,5.3,004,6.1
0824-2130,4.3,358,5.8
0824-2200,3.5,351,4.5
0824-2230,2.7,336,3.9
0824-2300,2.2,314,4.2
