0830-0800,12.7,273,13.2
0830-0830,11.2,287,11.8
0830-0900,10.3,278,11.7
0830-0930,11.7,282,11.7
0830-1000,10.3,269,10.9
0830-1030,10.2,256,11.4
0830-1100,10.8,256,12.6
0830-1130,13.4,245,13.8
0830-1200,14.8,250,14.8
0830-1230,14.2,244,14.3
0830-1300,15.6,241,15.6
0830-1330,15.8,244,15.8
0830-1400,15,246,15
0830-1430,15,253,15
0830-1500,15.7,253,15.7
0830-1530,15.2,255,15.2
0830-1600,14.4,255,14.4
0830-1630,14.8,260,14.8
0830-1700,14.8,256,15
0830-1730,15.3,264,15.3
0830-1800,12.2,264,15.1
0830-1830,10.3,259,12.5
0830-1900,10.8,268,11.5
0830-1930,10.6,271,10.7
0830-2000,9.2,267,10.3
0830-2030,10.7,264,10.7
0830-2100,9.9,262,9.9
0830-2130,8.3,254,8.3
0830-2200,8.4,263,8.4
0830-2230,8.4,269,8.4
0830-2300,7.4,265,7.4
0831--070,5.8,262,5.8
0831-0000,7,277,7
0831-0030,6,289,6
0831-0100,5.2,274,5.2
0831-0130,5.7,273,5.7
0831-0200,6.8,294,6.8
0831-0230,4.5,275,5
0831-0300,5.1,273,5.1
0831-0330,4,246,4.8
0831-0400,4.9,254,5
0831-0430,3.5,226,4.8
0831-0500,4.4,220,5.2
0831-0530,5.6,196,6.2
0831-0600,7.3,194,7.3
0831-0630,8.4,193,8.4
0831-0700,9.4,190,9.4
0831-0730,10.1,189,10.1
0831-0800,10,188,10
0831-0830,9.5,195,9.5
0831-0900,10.1,209,10.1
0831-0930,10.2,212,10.2
0831-1000,10.8,216,10.8
0831-1030,11.8,221,11.8
0831-1100,12.5,221,12.5
0831-1130,12.3,226,12.3
0831-1200,11.7,234,11.7
0831-1230,11.9,245,11.9
0831-1300,11.4,254,11.4
0831-1330,11.8,260,11.8
0831-1400,11.5,261,11.5
0831-1430,10.8,263,10.8
0831-1500,12.5,275,12.5
0831-1530,11.5,279,11.5
0831-1600,11.3,287,11.3
0831-1630,11.1,298,11.1
0831-1700,10.6,301,10.6
0831-1730,11.2,305,11.2
0831-1800,9.1,309,9.1
0831-1830,9.5,315,9.5
0831-1900,8.9,324,8.9
0831-1930,8.6,326,8.6
0831-2000,8,335,8.1
0831-2030,7.3,341,7.5
0831-2100,8.5,340,8.5
0831-2130,6.7,348,7.2
0831-2200,7.1,341,7.2
0831-2230,6,351,6
0831-2300,5.3,346,5.5
