0907-0800,11.9,194,11.9
0907-0830,12.1,199,12.1
0907-0900,12.5,205,12.5
0907-0930,12.7,208,12.7
0907-1000,13,209,13
0907-1030,13.6,209,13.6
0907-1100,13.3,217,13.3
0907-1130,13,223,13
0907-1200,12,229,12
0907-1230,11.4,241,11.4
0907-1300,11.8,246,11.8
0907-1330,10.8,255,10.8
0907-1400,9.4,275,9.3
0907-1430,9.8,281,9.9
0907-1500,9.8,293,9.8
0907-1530,8.8,292,8.9
0907-1600,8.5,310,8.8
0907-1630,9.1,322,9.6
0907-1700,8.8,332,8.8
0907-1730,9,335,9.1
0907-1800,9.6,340,10.1
0907-1830,8,341,9.8
0907-1900,7.7,343,9.9
0907-1930,7.5,346,10.5
0907-2000,9.3,348,10.9
0907-2030,8.1,354,10.7
0907-2100,7.1,357,10.7
0907-2130,6.1,358,10.5
0907-2200,5.6,345,6.8
0907-2230,5.5,337,7.4
0907-2300,6.2,336,8.1
0908--070,6.7,335,8.6
0908-0000,6.3,337,11.4
0908-0030,7.9,327,12.5
0908-0100,8.2,327,12.2
0908-0130,7.4,334,10.8
0908-0200,8.5,335,10.4
0908-0230,8.3,344,11
0908-0300,8.4,347,11
0908-0330,8.8,353,11.9
0908-0400,8.1,356,12.1
0908-0430,7.7,358,12.8
0908-0500,5.5,010,14.4
0908-0530,4.7,018,7.9
0908-0600,3.8,349,8.7
0908-0630,2.8,331,7.2
0908-0700,1.9,339,6.6
0908-0730,2.1,257,6
0908-0800,4.7,222,4.7
0908-0830,8.7,207,8.7
0908-0900,7.1,213,7.1
0908-0930,7.5,233,7.5
0908-1000,8.4,235,8.4
0908-1030,9,236,9
0908-1100,8.9,243,8.9
0908-1130,8.7,266,8.7
0908-1200,7.8,293,7.8
0908-1230,8,302,8
0908-1300,7.9,305,8.9
0908-1330,9.1,313,9.4
0908-1400,8,315,10
0908-1430,9.8,322,11.5
0908-1500,8.4,335,11.6
0908-1530,11,335,12
0908-1600,11,338,12.9
0908-1630,11,340,13.7
0908-1700,11.4,347,14.8
0908-1730,12,351,15.6
0908-1800,12.2,354,16
0908-1830,12.1,356,15.7
0908-1900,11.9,358,15.9
0908-1930,11.8,356,15.3
0908-2000,12,360,14.9
0908-2030,12.1,003,14.8
0908-2100,11.6,002,14.6
0908-2130,10.1,358,13
0908-2200,9.5,359,13.5
0908-2230,9,357,11.1
0908-2300,8.9,357,11.3
