0820-0800,2.2,053,6.3
0820-0830,3.3,018,6.2
0820-0900,4.3,357,5.8
0820-0930,4.5,346,7.8
0820-1000,6.8,344,8.8
0820-1030,7.2,346,9.5
0820-1100,8.4,345,9.3
0820-1130,10.9,339,10.9
0820-1200,12.2,340,12.2
0820-1230,13.2,343,13.2
0820-1300,15.2,343,15.2
0820-1330,15.2,343,15.2
0820-1400,15.7,345,15.6
0820-1430,16.5,345,16.5
0820-1500,17.5,346,17.5
0820-1530,18.1,347,18.1
0820-1600,17.9,350,18.1
0820-1630,17.9,351,17.9
0820-1700,17.7,353,18.9
0820-1730,18.5,352,19.2
0820-1800,17.5,355,20.2
0820-1830,17.2,356,21.1
0820-1900,16.8,357,21.9
0820-1930,16,006,21.3
0820-2000,15.9,008,21.1
0820-2030,16.7,001,21.1
0820-2100,15.1,000,21.6
0820-2130,15.5,001,20.2
0820-2200,16.2,001,17
0820-2230,14.3,355,17.7
0820-2300,13.7,356,16.6
0821--070,11.3,348,13.3
0821-0000,9.9,343,12.8
0821-0030,9.6,338,10.5
0821-0100,9.3,334,10.6
0821-0130,8.2,333,11.7
0821-0200,9.3,337,9.3
0821-0230,7.9,342,9.2
0821-0300,4.7,359,6.2
0821-0330,4,358,5
0821-0400,2.3,342,3.7
0821-0430,2.8,004,4.1
0821-0500,3.1,338,3.8
0821-0530,3.3,346,4.7
0821-0600,3.6,008,4.1
0821-0630,3.7,341,4.8
0821-0700,1,016,3.9
0821-0730,2.7,137,2.7
0821-0800,1.6,139,2.9
0821-0830,1.9,059,3.4
0821-0900,0.7,009,3.9
0821-0930,1.4,293,3.3
0821-1000,2.5,281,3.3
0821-1030,4.6,300,4.6
0821-1100,6.5,302,6.5
0821-1130,7.2,302,8.2
0821-1200,8.8,310,8.8
0821-1230,8.7,313,8.7
0821-1300,9.1,312,9.8
0821-1330,10.4,317,10.4
0821-1400,10.4,319,10.9
0821-1430,11.1,318,11.1
0821-1500,11.2,323,11.2
0821-1530,12.1,332,12.1
0821-1600,11.9,340,11.9
0821-1630,11.7,344,14.9
0821-1700,12.5,348,15
0821-1730,12.3,345,14.4
0821-1800,11.4,343,12.7
0821-1830,10.7,337,13.4
0821-1900,9.6,334,11.9
0821-1930,8.2,318,12
0821-2000,7.8,309,10.1
0821-2030,8.4,302,8.4
0821-2100,8.7,296,8.7
0821-2130,7,293,7
0821-2200,7,292,7
0821-2230,6.5,281,6.5
0821-2300,6,280,6
