0904-0800,9.1,191,10.5
0904-0830,9.6,204,10
0904-0900,9.9,209,9.9
0904-0930,9.9,215,9.9
0904-1000,10.8,212,10.8
0904-1030,11,219,11
0904-1100,9.8,221,10.1
0904-1130,9.1,242,9.4
0904-1200,10.1,249,10.1
0904-1230,8.6,254,9.5
0904-1300,9,263,9
0904-1330,9.8,259,9.8
0904-1400,9.4,264,9.4
0904-1430,10,265,10
0904-1500,9.6,272,9.6
0904-1530,12.1,266,12.1
0904-1600,10.4,280,10.4
0904-1630,10.1,283,10.1
0904-1700,10,286,10
0904-1730,9.7,286,9.7
0904-1800,8.7,295,8.7
0904-1830,7.4,302,7.5
0904-1900,6.8,299,6.9
0904-1930,6.9,292,7.1
0904-2000,5.2,294,6.2
0904-2030,4.3,311,6.4
0904-2100,5.2,292,5.2
0904-2130,3.9,300,5.2
0904-2200,3.4,324,5.3
0904-2230,2.6,283,4
0904-2300,2.4,271,4.3
0905--070,2,220,4
0905-0000,1.5,224,3.9
0905-0030,3.1,172,4.5
0905-0100,4.1,173,4.4
0905-0130,5.3,169,5.3
0905-0200,6,172,6
0905-0230,6.1,172,6.1
0905-0300,6.4,176,6.4
0905-0330,6.7,175,6.7
0905-0400,6.9,172,6.9
0905-0430,6.8,167,6.8
0905-0500,8,162,8
0905-0530,8.7,164,8.7
0905-0600,9.1,162,9.1
0905-0630,9.3,164,9.3
0905-0700,9.8,163,9.8
0905-0730,9.1,165,9.1
0905-0800,8.5,173,8.9
0905-0830,7.6,190,8.7
0905-0900,8.5,205,8.5
0905-0930,8.4,211,8.4
0905-1000,8.8,218,8.8
0905-1030,9.1,219,9.5
0905-1100,9.6,224,9.7
0905-1130,9.3,234,10.1
0905-1200,8.8,258,8.8
0905-1230,9.6,265,9.6
0905-1300,10.1,274,10.1
0905-1330,9.8,269,9.8
0905-1400,10.5,273,10.5
0905-1430,10.4,281,10.3
0905-1500,10.6,288,10.6
0905-1530,10.7,286,10.7
0905-1600,10.3,292,10.6
0905-1630,9,295,9.9
0905-1700,9.4,298,9.9
0905-1730,8.1,303,10.1
0905-1800,7.7,301,8.5
0905-1830,6.8,307,8.4
0905-1900,6,305,8.5
0905-1930,5.2,306,7.7
0905-2000,5.2,306,6.9
0905-2030,4.4,309,5.5
0905-2100,3.9,297,5.6
0905-2130,1.5,257,4.4
0905-2200,3,280,4.2
0905-2230,3,224,3.3
0905-2300,3.3,229,4.1
