0812-0800,3.7,208,4
0812-0830,4.3,217,4.3
0812-0900,5.5,222,5.5
0812-0930,6.1,235,6.1
0812-1000,6.5,248,6.5
0812-1030,7.4,247,7.4
0812-1100,6.6,248,6.7
0812-1130,7.9,248,7.9
0812-1200,8.8,255,8.8
0812-1230,9.9,261,9.9
0812-1300,9.8,267,9.8
0812-1330,10,271,10.2
0812-1400,10.6,271,11.3
0812-1430,10.5,279,11.5
0812-1500,10.3,287,11.5
0812-1530,10.5,294,11.7
0812-1600,10.9,300,11.7
0812-1630,9.5,306,11.9
0812-1700,10.9,310,11.1
0812-1730,11.2,314,11.2
0812-1800,9.8,317,10.9
0812-1830,8.3,326,10.4
0812-1900,6.8,332,9.9
0812-1930,6.6,337,8.3
0812-2000,5.8,342,7.7
0812-2030,4.9,350,7.1
0812-2100,3.5,358,6.7
0812-2130,3.4,017,5.4
0812-2200,3.3,036,6.7
0812-2230,3.6,064,5.2
0812-2300,3.5,062,3.5
0813--070,3.6,073,3.6
0813-0000,3.3,080,3.3
0813-0030,2.8,082,2.8
0813-0100,2.6,101,2.6
0813-0130,2.8,108,2.8
0813-0200,2.5,114,2.5
0813-0230,2.5,110,2.5
0813-0300,1.9,118,1.9
0813-0330,2.1,142,2.1
0813-0400,2.4,150,2.4
0813-0430,3,156,3
0813-0500,4,166,4
0813-0530,4.2,172,4.2
0813-0600,4.5,165,4.5
0813-0630,4.3,164,4.3
0813-0700,5.2,166,5.2
0813-0730,5.9,188,6.8
0813-0800,6.7,194,6.7
0813-0830,8,207,8
0813-0900,7.4,212,7.4
0813-0930,9.2,220,9.2
0813-1000,10.3,224,10.3
0813-1030,11.9,224,11.9
0813-1100,11.2,228,11.2
0813-1130,11.4,235,11.4
0813-1200,10.8,243,10.8
0813-1230,11.6,245,11.5
0813-1300,11.7,255,11.7
0813-1330,11.3,259,11.6
0813-1400,12,258,12
0813-1430,11.9,260,11.9
0813-1500,10.6,266,11.7
0813-1530,10.3,276,12.2
0813-1600,10.4,283,12
0813-1630,8.8,288,11.4
0813-1700,8.3,286,11.3
0813-1730,8,288,10.7
0813-1800,7,293,8
0813-1830,5.5,285,7.6
0813-1900,4.5,274,7.6
0813-1930,3.3,262,5.8
0813-2000,2.5,247,4.3
0813-2030,1.7,212,4
0813-2100,1.5,200,3.6
0813-2130,2.2,207,2.9
0813-2200,1.7,175,3.2
0813-2230,2,156,2
0813-2300,2.5,205,4.8
