0812-0800,2,125,2.3
0812-0830,1.1,211,2.5
0812-0900,3.5,239,3.5
0812-0930,4.3,235,4.3
0812-1000,6,241,6
0812-1030,6.7,240,6.8
0812-1100,7.8,247,7.8
0812-1130,8.6,250,8.9
0812-1200,8.6,255,9.6
0812-1230,8.8,258,9
0812-1300,8.6,264,8.6
0812-1330,9.2,262,9.2
0812-1400,8.8,268,8.8
0812-1430,8,274,8
0812-1500,7.2,279,7.2
0812-1530,7.5,279,7.5
0812-1600,7.1,286,7.1
0812-1630,7.1,294,7.1
0812-1700,7,299,7
0812-1730,6.3,304,6.4
0812-1800,5.9,312,5.9
0812-1830,5.4,310,5.4
0812-1900,4.6,323,4.6
0812-1930,4.5,332,4.6
0812-2000,4.2,343,4.2
0812-2030,3.9,339,3.9
0812-2100,3.3,354,3.3
0812-2130,2.9,359,2.9
0812-2200,1.6,012,1.7
0812-2230,0.9,143,1.8
0812-2300,1.1,159,2
0813--070,0.8,148,2
0813-0000,0.4,025,2.7
0813-0030,0.8,359,2.7
0813-0100,1.2,041,3.2
0813-0130,1.1,043,3
0813-0200,1.2,349,2.9
0813-0230,1.5,313,2.6
0813-0300,1.1,309,2.6
0813-0330,2.4,124,2.4
0813-0400,4.1,122,4.1
0813-0430,5,121,5
0813-0500,5.3,117,5.3
0813-0530,5.6,111,5.6
0813-0600,4.9,114,4.9
0813-0630,5.7,119,5.7
0813-0700,6.1,128,6
0813-0730,4.7,162,6.7
0813-0800,9.1,204,9
0813-0830,7.3,201,10.7
0813-0900,9.2,212,9.2
0813-0930,9.7,215,9.7
0813-1000,10,219,10
0813-1030,11.4,224,11.4
0813-1100,10.9,229,10.9
0813-1130,10.4,235,12.2
0813-1200,12,238,12
0813-1230,10.7,241,10.7
0813-1300,9.1,246,10.5
0813-1330,10.1,255,10.3
0813-1400,9.2,263,11.3
0813-1430,8.8,263,8.8
0813-1500,6.8,260,9.5
0813-1530,7.1,270,7.8
0813-1600,6.1,268,7.8
0813-1630,5.5,265,6.8
0813-1700,5.2,257,5.9
0813-1730,5,258,5.5
0813-1800,3.6,258,5.9
0813-1830,3.2,240,4.7
0813-1900,2.2,236,3.7
0813-1930,2.1,211,4
0813-2000,4.1,203,4.2
0813-2030,3.8,193,4.1
0813-2100,3.6,192,4.4
0813-2130,3.5,189,5.2
0813-2200,4,176,5.5
0813-2230,3.3,173,4.7
0813-2300,4.3,132,4.3
