0827-0800,4.2,141,4.7
0827-0830,1.8,210,3.8
0827-0900,6.4,223,6.4
0827-0930,7.6,225,7.6
0827-1000,6.4,229,6.4
0827-1030,8.3,241,8.3
0827-1100,7.5,249,7.5
0827-1130,7.4,258,7.4
0827-1200,7.5,262,7.5
0827-1230,6.6,275,6.6
0827-1300,6.8,278,6.8
0827-1330,6.5,289,6.5
0827-1400,6.3,302,6.3
0827-1430,6.5,312,6.6
0827-1500,7.3,318,7.7
0827-1530,6.6,323,7.8
0827-1600,7.8,333,7.8
0827-1630,8.4,336,8.7
0827-1700,9.1,343,9.1
0827-1730,8.2,350,8.8
0827-1800,7.8,345,8.6
0827-1830,8.6,353,8.6
0827-1900,8.3,359,8.4
0827-1930,8.2,357,8.5
0827-2000,7.7,359,7.7
0827-2030,7.1,360,7.1
0827-2100,7.6,356,7.6
0827-2130,7.8,355,7.8
0827-2200,7.7,353,7.7
0827-2230,7.3,354,7.3
0827-2300,6.3,356,6.8
0828--070,5.7,358,6.2
0828-0000,5.1,006,5.5
0828-0030,4.8,006,5.4
0828-0100,5,003,5.4
0828-0130,4.5,001,5
0828-0200,3.4,002,4.1
0828-0230,2.2,355,3.4
0828-0300,1.3,337,3.3
0828-0330,2.1,275,3.3
0828-0400,2.7,256,2.7
0828-0430,4.1,129,4
0828-0500,5.3,112,5.3
0828-0530,5.8,111,5.8
0828-0600,6.7,111,6.7
0828-0630,7.5,103,7.5
0828-0700,7.1,103,7.1
0828-0730,6.4,113,7.5
0828-0800,5,197,5
0828-0830,9.3,216,9.3
0828-0900,9,222,9
0828-0930,9.2,224,9.2
0828-1000,9,221,9
0828-1030,9.9,228,9.9
0828-1100,10.2,230,10.2
0828-1130,10.4,232,10.3
0828-1200,9.8,230,9.8
0828-1230,8.6,242,8.6
0828-1300,9.4,241,9.4
0828-1330,8.3,240,8.3
0828-1400,9.6,250,9.6
0828-1430,7.2,264,8.9
0828-1500,8.2,262,9.2
0828-1530,7.3,280,8
0828-1600,6.8,288,8.5
0828-1630,5.5,299,7.6
0828-1700,4.9,321,7.5
0828-1730,4.5,321,7
0828-1800,3.6,336,6.9
0828-1830,3,335,3.8
0828-1900,2.5,340,3.6
0828-1930,2.1,334,3.4
0828-2000,1.7,323,3.2
0828-2030,1.4,316,2.7
0828-2100,0.5,293,2
0828-2130,0.7,154,1.8
0828-2200,1,155,2.4
0828-2230,2.3,132,2.3
0828-2300,2.7,126,2.7
