0818-0800,0.3,128,6.2
0818-0830,1.1,232,4
0818-0900,1.3,047,3.1
0818-0930,3.9,245,6.2
0818-1000,6.7,231,6.7
0818-1030,4.8,265,7.5
0818-1100,7.1,259,7.6
0818-1130,8.7,276,8.7
0818-1200,10.6,282,10.6
0818-1230,11.4,282,11.4
0818-1300,11.9,282,11.9
0818-1330,12.5,288,12.5
0818-1400,13.2,289,13.2
0818-1430,13.6,290,13.6
0818-1500,13.9,289,13.9
0818-1530,13.9,291,13.9
0818-1600,13.8,292,13.8
0818-1630,13.7,294,13.8
0818-1700,13.9,297,13.9
0818-1730,13.7,302,13.7
0818-1800,13.5,304,13.5
0818-1830,12.4,303,13.1
0818-1900,9.7,302,14.2
0818-1930,6.8,298,13.7
0818-2000,5.8,292,14.2
0818-2030,4.8,283,13.6
0818-2100,5.1,277,13.3
0818-2130,4.6,277,10.5
0818-2200,3.1,254,11.4
0818-2230,3.4,229,10.9
0818-2300,3.5,229,10.7
0819--070,4,236,10.9
0819-0000,3.6,272,10.7
0819-0030,4.3,301,10.1
0819-0100,4.8,313,9.5
0819-0130,4.9,315,9.2
0819-0200,4.3,307,9.8
0819-0230,3.8,301,9.6
0819-0300,4.4,314,9.5
0819-0330,3.9,304,9.6
0819-0400,3.7,306,10.1
0819-0430,3.8,317,9.7
0819-0500,4.3,332,7.9
0819-0530,4.4,347,4.4
0819-0600,3.5,005,3.5
0819-0630,3.3,039,3.3
0819-0700,3.3,072,3.3
0819-0730,1.8,080,1.9
0819-0800,0.9,093,4
0819-0830,0.3,158,4.7
0819-0900,0.9,192,4
0819-0930,0.6,151,3.2
0819-1000,0.4,352,3.2
0819-1030,5.7,270,5.7
0819-1100,7.8,267,7.8
0819-1130,8.2,282,8.2
0819-1200,9.2,291,9.2
0819-1230,10.1,292,10.1
0819-1300,10.8,296,10.7
0819-1330,11.8,302,11.8
0819-1400,12.8,304,12.8
0819-1430,14.9,305,14.9
0819-1500,15.7,307,15.6
0819-1530,16.4,311,16.4
0819-1600,17.6,311,17.6
0819-1630,18.4,313,18.4
0819-1700,18.6,315,18.6
0819-1730,19,316,19
0819-1800,19.2,318,19.2
0819-1830,18.3,320,18.3
0819-1900,15.3,322,23
0819-1930,10,319,18.8
0819-2000,3,265,8.6
0819-2030,4.8,218,4.8
0819-2100,2.7,231,6.7
0819-2130,2.6,303,2.6
0819-2200,3.4,328,3.4
0819-2230,2.5,292,2.4
0819-2300,1.7,279,2.9
