0903-0800,4.6,199,4.6
0903-0830,3.9,221,3.9
0903-0900,4.8,228,4.8
0903-0930,5.6,231,5.6
0903-1000,6.7,232,6.7
0903-1030,7.1,235,7.1
0903-1100,7.5,234,7.5
0903-1130,7.9,251,7.9
0903-1200,8,261,8
0903-1230,9.4,262,9.4
0903-1300,8.9,271,8.9
0903-1330,8.6,277,8.6
0903-1400,8.3,286,8.3
0903-1430,9,294,9
0903-1500,8.5,292,8.6
0903-1530,9.3,295,9.3
0903-1600,9,293,9.2
0903-1630,8.7,295,8.7
0903-1700,9.5,299,9.5
0903-1730,9.4,299,9.4
0903-1800,8.7,299,8.7
0903-1830,8.2,298,8.2
0903-1900,7.5,296,7.5
0903-1930,7.6,300,7.6
0903-2000,8.7,304,8.7
0903-2030,7.2,304,7.2
0903-2100,7.2,313,7.2
0903-2130,8.2,301,8.2
0903-2200,6.6,303,6.6
0903-2230,6.8,303,6.8
0903-2300,5.1,305,5.1
0904--070,7.5,286,7.5
0904-0000,5.4,288,5.4
0904-0030,6.1,282,6.1
0904-0100,6.7,276,6.6
0904-0130,7,260,7
0904-0200,6.9,265,6.9
0904-0230,6.7,253,7.1
0904-0300,7.8,256,7.9
0904-0330,7.8,251,8.1
0904-0400,8,245,8
0904-0430,8.6,238,8.6
0904-0500,8.2,241,8.3
0904-0530,8.6,232,8.6
0904-0600,6.6,231,8
0904-0630,8.4,221,8.4
0904-0700,8.2,201,8.4
0904-0730,9.6,192,9.6
0904-0800,10.3,196,10.3
0904-0830,11.1,201,11.1
0904-0900,10.9,200,10.9
0904-0930,11.1,201,11.1
0904-1000,10.2,224,10.4
0904-1030,11.5,225,11.5
0904-1100,12,233,12
0904-1130,11.9,236,11.9
0904-1200,10.5,236,10.5
0904-1230,11,240,11
0904-1300,9.4,249,9.4
0904-1330,9.7,248,9.7
0904-1400,9.6,256,9.6
0904-1430,10.8,260,10.8
0904-1500,12.3,261,12.3
0904-1530,9.9,273,10
0904-1600,10.1,279,10.1
0904-1630,7.8,281,9.7
0904-1700,11.2,289,11.3
0904-1730,10.3,289,10.3
0904-1800,7.6,284,9.6
0904-1830,8.5,292,9
0904-1900,8.3,292,8.7
0904-1930,6.6,292,8
0904-2000,5.9,312,6.6
0904-2030,6.1,314,6.4
0904-2100,3.9,313,6.1
0904-2130,5.5,318,6
0904-2200,5,299,6
0904-2230,3.9,309,4.9
0904-2300,3.4,297,4.6
