0817-0800,2.5,297,3.7
0817-0830,4.1,252,4.3
0817-0900,5.7,248,5.7
0817-0930,3.8,244,4.4
0817-1000,6.5,270,6.5
0817-1030,6.2,268,6.2
0817-1100,6.8,270,6.8
0817-1130,7.4,280,7.4
0817-1200,8.1,282,8.5
0817-1230,9.4,267,9.4
0817-1300,10.3,279,10.3
0817-1330,10,280,10.1
0817-1400,10.7,282,10.7
0817-1430,10.8,292,11.1
0817-1500,10.9,285,10.9
0817-1530,11.6,289,11.6
0817-1600,11.3,285,11.3
0817-1630,10.3,284,10.9
0817-1700,10.5,289,10.5
0817-1730,10.4,291,10.4
0817-1800,9.7,299,9.7
0817-1830,9.4,298,9.4
0817-1900,8.6,301,8.7
0817-1930,7.7,297,8.3
0817-2000,7.3,301,8.4
0817-2030,4.8,292,7
0817-2100,5.4,291,6.4
0817-2130,8.4,297,8.4
0817-2200,7,297,7
0817-2230,5,302,6.2
0817-2300,4.8,302,6.4
0818--070,4.2,294,6.1
0818-0000,4.6,309,5.4
0818-0030,3.5,315,4.2
0818-0100,2.1,316,4.5
0818-0130,4.1,303,4.9
0818-0200,3.1,260,4.9
0818-0230,3.8,270,4.3
0818-0300,4.4,269,5.7
0818-0330,3.1,276,5.8
0818-0400,5.1,236,5.6
0818-0430,5.1,266,6.2
0818-0500,5.3,238,7.2
0818-0530,6.6,172,6.6
0818-0600,6.9,169,6.8
0818-0630,7.6,162,7.6
0818-0700,7.8,170,7.8
0818-0730,7.3,170,7.3
0818-0800,6.4,178,6.4
0818-0830,5.4,192,5.4
0818-0900,5.7,214,5.7
0818-0930,5.2,214,5.2
0818-1000,7.8,219,7.8
0818-1030,6.4,227,6.4
0818-1100,8.3,237,8.3
0818-1130,6.8,249,7.2
0818-1200,8.4,249,8.4
0818-1230,7.6,262,7.6
0818-1300,8.4,277,8.4
0818-1330,8.8,284,8.8
0818-1400,9.5,289,9.5
0818-1430,10.1,291,10.1
0818-1500,10.7,301,10.7
0818-1530,11.1,295,11.1
0818-1600,11.6,299,11.6
0818-1630,11,302,11
0818-1700,10.9,313,10.9
0818-1730,10.7,317,10.7
0818-1800,10.2,319,10.2
0818-1830,10.7,323,10.7
0818-1900,8.9,326,9.5
0818-1930,9.8,324,9.8
0818-2000,8.6,331,8.6
0818-2030,9.1,334,9.1
0818-2100,10.4,340,10.4
0818-2130,7.2,343,7.2
0818-2200,7.2,356,7.2
0818-2230,6.8,351,6.8
0818-2300,5.9,009,5.9
