0902-0800,2.6,129,4.1
0902-0830,1,338,4.4
0902-0900,3.3,314,4.6
0902-0930,4.2,290,4.2
0902-1000,5.4,287,5.4
0902-1030,5.9,287,5.9
0902-1100,6.7,295,6.7
0902-1130,8.8,308,8.8
0902-1200,9.9,311,9.9
0902-1230,9.6,311,9.6
0902-1300,10.1,312,10.1
0902-1330,10.9,315,10.9
0902-1400,11.4,318,11.4
0902-1430,11.7,320,11.7
0902-1500,12.2,323,12.2
0902-1530,12.1,327,12.1
0902-1600,12.9,327,12.9
0902-1630,11.7,333,12
0902-1700,12.6,330,12.6
0902-1730,11.5,332,12
0902-1800,12.3,335,12.3
0902-1830,11.4,335,11.8
0902-1900,9.9,339,12.1
0902-1930,9.6,341,10
0902-2000,7.8,341,9.4
0902-2030,7.9,337,9
0902-2100,5.8,341,7.6
0902-2130,6.2,328,6.2
0902-2200,4.2,330,4.9
0902-2230,1.8,324,4.7
0902-2300,1.6,299,3.4
0903--070,2,288,3.2
0903-0000,2.3,284,3
0903-0030,2.4,269,3.5
0903-0100,2.8,263,3.8
0903-0130,2.4,249,3.7
0903-0200,2.4,240,3.3
0903-0230,2.8,252,3.7
0903-0300,2.7,238,3.9
0903-0330,3.2,225,5.2
0903-0400,3.2,251,4.2
0903-0430,2.8,234,4.2
0903-0500,2.9,239,5.4
0903-0530,2.4,168,2.4
0903-0600,4.1,154,4.1
0903-0630,3.7,148,4.6
0903-0700,5.3,146,5.3
0903-0730,6.1,154,6.1
0903-0800,5.1,170,5.1
0903-0830,4.7,195,4.7
0903-0900,5.5,226,5.5
0903-0930,6,233,6
0903-1000,7.3,234,7.3
0903-1030,7,238,7
0903-1100,7,243,7
0903-1130,8.2,260,8.2
0903-1200,7.7,261,7.7
0903-1230,7.8,272,7.8
0903-1300,8.7,279,8.7
0903-1330,10,284,10
0903-1400,9.5,286,9.5
0903-1430,10.3,289,10.3
0903-1500,10.4,293,10.4
0903-1530,10.9,293,10.9
0903-1600,11.2,294,11.2
0903-1630,10.7,296,10.7
0903-1700,9.8,295,9.8
0903-1730,9.4,302,9.4
0903-1800,9,303,9
0903-1830,8.3,310,8.3
0903-1900,6.9,308,6.9
0903-1930,5.5,309,5.5
0903-2000,5.7,314,5.7
0903-2030,4.7,307,4.8
0903-2100,4.8,300,4.8
0903-2130,5.5,298,5.4
0903-2200,4.5,296,4.5
0903-2230,3.2,288,3.7
0903-2300,3.4,289,4.1
