0813-0800,4.1,213,6.3
0813-0830,4.3,222,6.2
0813-0900,3.8,232,6.7
0813-0930,2.6,252,6.5
0813-1000,1.3,271,8.5
0813-1030,1.9,296,8.5
0813-1100,3,296,9.5
0813-1130,3,270,10.5
0813-1200,3.1,236,7.6
0813-1230,5.6,238,8.5
0813-1300,16.4,269,16.4
0813-1330,17.5,270,17.5
0813-1400,18.6,272,18.6
0813-1430,19.2,273,19.2
0813-1500,18.4,271,18.4
0813-1530,17.7,268,17.7
0813-1600,17.4,266,17.4
0813-1630,17.3,265,17.3
0813-1700,17.4,264,19.1
0813-1730,16.9,262,20.3
0813-1800,16.2,259,21.3
0813-1830,13.8,249,20.6
0813-1900,9.3,227,16.4
0813-1930,5.2,192,15.2
0813-2000,5.7,189,14.4
0813-2030,5.6,182,17.7
0813-2100,5.2,200,10.7
0813-2130,4.7,243,8.6
0813-2200,2.8,216,6.3
0813-2230,1.6,256,8.2
0813-2300,4,264,6.6
0814--070,3.1,256,4.1
0814-0000,1.2,235,1.2
0814-0030,1.6,138,6.2
0814-0100,4.6,169,4.6
0814-0130,3.6,179,3.8
0814-0200,2.6,264,5.6
0814-0230,2,270,2.7
0814-0300,2.6,135,5.4
0814-0330,5.6,176,5.6
0814-0400,5.1,164,5.1
0814-0430,4.8,164,4.8
0814-0500,4.5,169,4.5
0814-0530,4.3,168,4.3
0814-0600,3.5,155,3.5
0814-0630,2.2,170,2.2
0814-0700,0.3,220,3.9
0814-0730,1.2,339,3.7
0814-0800,1.9,243,3.8
0814-0830,3.6,242,6.8
0814-0900,3.1,240,7.3
0814-0930,3,297,7.1
0814-1000,2,277,6.7
0814-1030,2.7,274,7.6
0814-1100,2.7,246,7.9
0814-1130,3,248,7.8
0814-1200,3.6,251,7.8
0814-1230,3.8,252,8.8
0814-1300,1.5,224,8.4
0814-1330,4.3,244,8.2
0814-1400,6.1,231,8.6
0814-1430,17.7,291,17.7
0814-1500,19.2,286,19.2
0814-1530,16.9,286,16.9
0814-1600,16.8,282,16.8
0814-1630,16.5,277,16.5
0814-1700,15.3,276,15.3
0814-1730,14.9,275,15.3
0814-1800,12.6,276,13.8
0814-1830,10.5,275,13.4
0814-1900,7.9,274,14.2
0814-1930,6.3,269,10.7
0814-2000,8.8,269,10.6
0814-2030,10.1,249,11.8
0814-2100,7.4,245,10.3
0814-2130,6.4,245,9.1
0814-2200,3.1,220,6.6
0814-2230,1.9,211,5.8
0814-2300,2,112,4.9
