0817-0800,1.4,298,1.7
0817-0830,2.8,270,2.8
0817-0900,2.7,251,5.4
0817-0930,2.7,248,4.9
0817-1000,2.8,249,5.8
0817-1030,3.1,246,5.9
0817-1100,3.8,245,5.8
0817-1130,3.7,229,5.9
0817-1200,3.7,240,6.6
0817-1230,4.3,256,6.2
0817-1300,4.2,243,7.3
0817-1330,4.7,263,7.5
0817-1400,5.9,258,9.1
0817-1430,14.6,274,14.6
0817-1500,15.5,274,15.5
0817-1530,14.9,273,14.9
0817-1600,14.9,273,14.9
0817-1630,14.6,273,14.6
0817-1700,15.2,272,15.2
0817-1730,15.3,272,15.3
0817-1800,15.3,274,15.5
0817-1830,13.9,275,14.4
0817-1900,12.2,276,16.3
0817-1930,11.8,270,16.4
0817-2000,11.5,263,14.6
0817-2030,10.7,267,12.9
0817-2100,9.9,267,9.9
0817-2130,9.1,268,9.1
0817-2200,7.5,276,7.5
0817-2230,4.6,292,4.6
0817-2300,3.1,053,3.8
0818--070,2.3,048,3.4
0818-0000,1.8,145,1.8
0818-0030,3.7,162,3.9
0818-0100,3,149,4.1
0818-0130,2.7,137,3.8
0818-0200,2,111,5
0818-0230,2.4,077,4.9
0818-0300,3,089,5.6
0818-0330,3.6,081,5.2
0818-0400,3.3,105,3.8
0818-0430,2.9,076,2.9
0818-0500,2.5,072,4.1
0818-0530,2.7,086,2.7
0818-0600,4.2,087,4.6
0818-0630,3.3,093,3.5
0818-0700,2.6,081,4.1
0818-0730,1.8,025,1.8
0818-0800,1.4,289,1.4
0818-0830,4.3,222,4.3
0818-0900,4.4,235,4.8
0818-0930,4.5,236,5.2
0818-1000,3.6,245,5.9
0818-1030,3.2,254,5.7
0818-1100,3.8,248,6.7
0818-1130,3.8,230,6.7
0818-1200,3.9,227,7.3
0818-1230,3.9,220,7.4
0818-1300,5.7,215,7.2
0818-1330,5.7,222,7.5
0818-1400,4.5,231,6.4
0818-1430,5.9,234,5.9
0818-1500,13.8,268,13.8
0818-1530,15.5,270,15.5
0818-1600,16.4,270,16.4
0818-1630,16.7,271,16.7
0818-1700,17.3,269,17.3
0818-1730,17.8,270,17.8
0818-1800,17.7,269,18
0818-1830,17,269,20.6
0818-1900,14.5,272,14.6
0818-1930,11,267,10.9
0818-2000,7.1,258,7.1
0818-2030,4.6,259,4.6
0818-2100,4,260,8.3
0818-2130,3.3,232,7.8
0818-2200,3.3,210,8.9
0818-2230,1.2,245,6.5
0818-2300,0.9,119,0.9
