0823-0800,3.8,215,3.8
0823-0830,2.9,190,2.9
0823-0900,4.3,151,4.3
0823-0930,4.2,126,4.2
0823-1000,3.7,122,3.7
0823-1030,3.3,114,3.7
0823-1100,2.5,107,2.5
0823-1130,2.2,142,2.2
0823-1200,1.4,138,1.4
0823-1230,1,131,1
0823-1300,1.2,169,1.2
0823-1330,3.1,183,3.1
0823-1400,15.7,269,15.7
0823-1430,18.9,268,21.9
0823-1500,19.9,260,23.8
0823-1530,20.3,250,20.3
0823-1600,20.9,249,20.9
0823-1630,20.9,257,20.9
0823-1700,20.6,263,20.6
0823-1730,20.3,261,20.3
0823-1800,20.2,258,20.2
0823-1830,19.4,260,19.4
0823-1900,16,261,16
0823-1930,10.5,253,13.6
0823-2000,10,257,11.8
0823-2030,7.3,253,7.3
0823-2100,7.4,264,7.3
0823-2130,5.7,266,6.8
0823-2200,8.1,242,8.1
0823-2230,5.7,249,5.8
0823-2300,5.9,245,5.9
0824--070,6.2,246,6.2
0824-0000,1.7,253,1.7
0824-0030,2.1,072,2.1
0824-0100,1.6,038,1.6
0824-0130,1.5,316,2.8
0824-0200,0.4,003,3.1
0824-0230,2.4,174,2.4
0824-0300,2.5,163,2.5
0824-0330,2.2,136,2.2
0824-0400,3.7,073,3.7
0824-0430,5.3,055,5.3
0824-0500,4.7,051,4.7
0824-0530,3.3,071,3.3
0824-0600,3.3,074,3.3
0824-0630,3.6,045,3.6
0824-0700,4.1,044,4.2
0824-0730,3.7,049,3.7
0824-0800,3,172,3
0824-0830,3.5,161,3.5
0824-0900,3,176,3
0824-0930,3.6,176,3.6
0824-1000,2.6,165,2.6
0824-1030,2.5,155,2.5
0824-1100,2.4,159,2.4
0824-1130,1.5,156,1.5
0824-1200,1.3,170,1.3
0824-1230,1.2,167,1.2
0824-1300,1.7,167,1.7
0824-1330,2.4,158,2.4
0824-1400,3.9,204,3.9
0824-1430,13.6,263,13.6
0824-1500,16.1,264,18.7
0824-1530,18.5,263,18.5
0824-1600,21.1,263,21.1
0824-1630,22.8,262,22.8
0824-1700,21.7,262,21.7
0824-1730,19.1,269,19.1
0824-1800,17.3,268,17.3
0824-1830,15.1,266,15.1
0824-1900,13.3,257,13.5
0824-1930,10.3,263,10.3
0824-2000,10,253,10
0824-2030,3.6,190,3.6
0824-2100,4.5,211,4.5
0824-2130,3.6,221,5.2
0824-2200,6,276,6
0824-2230,4,268,4
0824-2300,7.5,147,7.5
