0814-0800,2.5,121,4.9
0814-0830,3.1,124,4.1
0814-0900,3.7,135,3.7
0814-0930,4.8,160,4.8
0814-1000,4.5,155,5.5
0814-1030,2.3,124,4.9
0814-1100,1.6,142,1.6
0814-1130,2.1,141,2.1
0814-1200,2.9,138,2.9
0814-1230,3.4,139,3.4
0814-1300,4.2,154,4.2
0814-1330,14.7,265,14.7
0814-1400,16.5,269,16.5
0814-1430,16.9,269,18.9
0814-1500,17.3,267,18.5
0814-1530,17.6,266,19.9
0814-1600,17.7,262,19.7
0814-1630,17.1,260,19.5
0814-1700,16.8,259,19.7
0814-1730,16.3,256,20
0814-1800,15.2,254,19.6
0814-1830,14.1,251,17.7
0814-1900,10.8,245,14.4
0814-1930,10.4,240,12.4
0814-2000,15.8,233,17
0814-2030,14.7,225,15.2
0814-2100,12.7,242,13.7
0814-2130,10.7,247,12
0814-2200,10.3,249,10.3
0814-2230,9.4,246,9.4
0814-2300,8.4,245,9.8
0815--070,6.8,245,6.8
0815-0000,5.2,257,5.2
0815-0030,1.5,335,2.3
0815-0100,4.7,029,5.4
0815-0130,6.2,022,6.2
0815-0200,5.9,020,5.9
0815-0230,5,018,5
0815-0300,4,013,4
0815-0330,1.7,355,1.7
0815-0400,2.2,264,7
0815-0430,3.9,287,6
0815-0500,3.1,353,3.3
0815-0530,1.1,342,1.9
0815-0600,2.6,051,2.6
0815-0630,3.1,039,3.1
0815-0700,2.8,047,2.8
0815-0730,1.5,110,1.5
0815-0800,1.7,155,1.7
0815-0830,2.7,174,2.7
0815-0900,3.6,177,3.6
0815-0930,4,173,4
0815-1000,3.7,164,3.7
0815-1030,3.2,164,3.2
0815-1100,3.5,162,3.5
0815-1130,2.7,159,2.6
0815-1200,1.6,179,1.6
0815-1230,1.3,187,1.3
0815-1300,2.6,177,2.6
0815-1330,5.3,197,5.3
0815-1400,14.2,263,14.2
0815-1430,15.5,260,15.6
0815-1500,12.9,258,12.9
0815-1530,15.2,261,15.2
0815-1600,17.6,263,18.3
0815-1630,19.1,266,20.9
0815-1700,18.7,265,23.5
0815-1730,18.6,262,18.7
0815-1800,18.3,256,18.3
0815-1830,15.9,250,15.9
0815-1900,11.8,252,17.2
0815-1930,7.5,247,10
0815-2000,7.9,239,7.9
0815-2030,6.1,250,6.1
0815-2100,1.4,016,1.4
0815-2130,3.8,014,3.8
0815-2200,2.5,015,2.5
0815-2230,3.3,354,3.3
0815-2300,5.2,019,5.2
