0818-0800,2.4,106,2.4
0818-0830,3.1,142,3.1
0818-0900,3.8,169,3.8
0818-0930,3.9,158,3.9
0818-1000,4.4,140,4.4
0818-1030,4.4,113,4.4
0818-1100,3.8,112,3.8
0818-1130,3.6,107,4
0818-1200,3.2,108,3.9
0818-1230,2.6,127,4.3
0818-1300,3.3,135,3.3
0818-1330,3.9,181,3.9
0818-1400,12.1,265,12.1
0818-1430,15.2,267,15.2
0818-1500,15.9,269,15.9
0818-1530,16.5,270,16.5
0818-1600,17.3,271,17.3
0818-1630,18.4,273,18.4
0818-1700,18,273,19.1
0818-1730,17.8,272,19.6
0818-1800,16.2,276,18.9
0818-1830,14.1,315,16.7
0818-1900,11.4,320,14.9
0818-1930,12.9,256,12.9
0818-2000,11.7,263,13.8
0818-2030,9.2,277,11.9
0818-2100,8.2,277,8.2
0818-2130,5.4,289,5.4
0818-2200,3.8,275,4.4
0818-2230,1.2,258,2.4
0818-2300,2.4,240,2.4
0819--070,0.6,287,1.8
0819-0000,2.2,084,4.2
0819-0030,2.8,178,2.8
0819-0100,2.8,258,2.8
0819-0130,1.3,331,2.2
0819-0200,0.7,010,0.9
0819-0230,3.4,256,3.4
0819-0300,3.6,319,3.6
0819-0330,3.4,321,3.7
0819-0400,3.8,278,4.2
0819-0430,5.4,271,5.4
0819-0500,5,280,5
0819-0530,5.8,276,5.8
0819-0600,6.3,279,6.3
0819-0630,7.5,282,7.5
0819-0700,6,271,6
0819-0730,3,268,3.2
0819-0800,2,172,2.1
0819-0830,3.2,186,3.2
0819-0900,3.1,154,3.1
0819-0930,3,158,3
0819-1000,3,154,3
0819-1030,3,154,3
0819-1100,3,149,3
0819-1130,3.4,146,3.4
0819-1200,3.2,150,3.2
0819-1230,2.4,164,2.4
0819-1300,2.7,167,2.7
0819-1330,3.3,152,3.3
0819-1400,2.6,189,2.6
0819-1430,12.5,269,12.5
0819-1500,15.9,270,15.9
0819-1530,16.6,266,16.6
0819-1600,17.4,259,18.3
0819-1630,18.2,261,20.5
0819-1700,18.5,258,21.9
0819-1730,16.4,263,18.7
0819-1800,9,314,9
0819-1830,11.6,326,11.6
0819-1900,11.2,327,11.2
0819-1930,8.4,326,8.5
0819-2000,6.6,339,6.6
0819-2030,9.2,247,9.2
0819-2100,7.1,247,8.1
0819-2130,8,248,11.3
0819-2200,6.8,252,8
0819-2230,6.8,264,7.4
0819-2300,5.9,283,7.5
