0818-0800,2.7,139,2.7
0818-0830,3.7,150,3.7
0818-0900,3.9,158,4
0818-0930,4.1,160,4.1
0818-1000,4.1,149,4.5
0818-1030,3.9,148,5
0818-1100,3.8,138,6.3
0818-1130,3.5,136,6.2
0818-1200,3.2,148,8.2
0818-1230,3.2,163,7.3
0818-1300,4.9,174,4.9
0818-1330,6.3,186,6.3
0818-1400,11.1,240,11.1
0818-1430,15.4,255,15.4
0818-1500,15.9,255,15.9
0818-1530,16.1,256,16.1
0818-1600,15.5,263,15.5
0818-1630,15.3,269,15.3
0818-1700,14.8,266,14.8
0818-1730,11.1,291,11.1
0818-1800,13.7,303,13.7
0818-1830,13.5,312,14.9
0818-1900,9.1,318,9.1
0818-1930,5.4,336,6.7
0818-2000,4.9,234,4.9
0818-2030,3,232,3
0818-2100,2.5,123,4.1
0818-2130,2.3,142,2.3
0818-2200,2.5,144,2.5
0818-2230,2.2,185,3
0818-2300,2.6,154,4
0819--070,1.6,150,2.6
0819-0000,0.7,012,0.7
0819-0030,1.7,329,1.7
0819-0100,2,319,2
0819-0130,1.6,311,1.6
0819-0200,2.5,344,2.5
0819-0230,2.8,332,2.8
0819-0300,2.8,349,2.8
0819-0330,2.4,341,2.4
0819-0400,2.9,305,2.9
0819-0430,3.2,263,4
0819-0500,4.1,275,4.1
0819-0530,4.2,276,4.2
0819-0600,4.3,279,4.3
0819-0630,4,290,4
0819-0700,3.6,270,3.6
0819-0730,2.4,233,2.4
0819-0800,2.3,199,2.3
0819-0830,3.3,173,3.3
0819-0900,3.3,180,3.3
0819-0930,3.6,178,3.6
0819-1000,4.1,183,4.1
0819-1030,4.3,184,4.3
0819-1100,4.2,176,4.2
0819-1130,3.9,161,3.9
0819-1200,3.9,170,3.9
0819-1230,4.1,177,4.5
0819-1300,4.1,179,4.9
0819-1330,3.8,184,8.2
0819-1400,4.7,187,8.3
0819-1430,8.4,229,8.4
0819-1500,14.6,255,14.6
0819-1530,15.6,253,15.6
0819-1600,16.3,242,16.3
0819-1630,11.6,275,11.6
0819-1700,4,054,4
0819-1730,2.8,002,2.8
0819-1800,7.2,353,7.2
0819-1830,2.6,319,6.2
0819-1900,4.6,328,5.5
0819-1930,5,336,8.9
0819-2000,4.6,351,5.4
0819-2030,4.4,185,5.3
0819-2100,4.5,184,5
0819-2130,2.1,100,2.1
0819-2200,1.7,162,1.7
0819-2230,1.1,308,1.1
0819-2300,2.5,067,2.4
