0814-0800,3.7,065,3.7
0814-0830,4.4,075,4.4
0814-0900,5.1,082,5.1
0814-0930,4.2,089,4.2
0814-1000,3.7,077,4.3
0814-1030,3.5,065,3.5
0814-1100,2.9,060,2.9
0814-1130,4.7,047,4.7
0814-1200,4.8,059,4.8
0814-1230,3.7,087,3.7
0814-1300,9.1,242,9.2
0814-1330,9.3,259,9.6
0814-1400,8.8,262,9.8
0814-1430,16.2,276,16.8
0814-1500,13.3,269,14
0814-1530,14,281,14.7
0814-1600,10.4,276,13.5
0814-1630,11.1,285,13.7
0814-1700,12.3,288,14.9
0814-1730,11.7,288,15.4
0814-1800,10.8,290,15.4
0814-1830,9.5,293,15
0814-1900,5.4,322,13
0814-1930,4.7,339,12.7
0814-2000,5.9,294,11.9
0814-2030,5.3,278,6.6
0814-2100,6.5,268,9.8
0814-2130,8,261,10.5
0814-2200,7.6,262,10.1
0814-2230,7.9,264,10.5
0814-2300,6.1,266,9.7
0815--070,5.8,277,9.9
0815-0000,6.8,278,10.6
0815-0030,5.9,280,8.9
0815-0100,4.3,272,6.8
0815-0130,3.8,277,4.9
0815-0200,2.5,259,2.5
0815-0230,2.1,196,2.1
0815-0300,2.7,221,2.7
0815-0330,5,184,5
0815-0400,5,187,5.1
0815-0430,4.2,284,4.2
0815-0500,4.6,275,4.6
0815-0530,5.8,277,5.8
0815-0600,5.4,289,5.4
0815-0630,5.4,299,6.2
0815-0700,3.6,321,3.6
0815-0730,1.3,341,1.9
0815-0800,2.2,058,2.2
0815-0830,2,113,2
0815-0900,2.9,128,2.8
0815-0930,3.3,130,3.3
0815-1000,4.6,116,4.6
0815-1030,3.9,110,3.9
0815-1100,3.3,082,3.3
0815-1130,3.6,058,3.6
0815-1200,1.9,050,1.9
0815-1230,2.9,047,2.9
0815-1300,1.8,105,1.7
0815-1330,15.3,287,16.4
0815-1400,18.3,288,19.4
0815-1430,18.3,289,19.5
0815-1500,17.5,290,17.7
0815-1530,17.7,286,19.5
0815-1600,18.7,282,19.8
0815-1630,19.9,280,21.4
0815-1700,20,278,24
0815-1730,19.7,277,23.6
0815-1800,18.9,277,22.9
0815-1830,16.6,276,23.1
0815-1900,15.8,277,23.5
0815-1930,14.4,277,19.4
0815-2000,14,272,17.2
0815-2030,14.6,269,18.8
0815-2100,9.4,275,14.6
0815-2130,3,034,3
0815-2200,1.9,043,1.9
0815-2230,2.8,343,7.4
0815-2300,4.5,277,4.5
