0829-0800,2.5,080,2.5
0829-0830,3.6,085,7
0829-0900,4.1,099,6.1
0829-0930,3.7,109,4.6
0829-1000,3.5,105,5.6
0829-1030,4.1,109,6.2
0829-1100,4,098,7
0829-1130,3.1,080,3.8
0829-1200,3.2,085,4.8
0829-1230,3.4,079,4.2
0829-1300,4.6,067,4.6
0829-1330,1,234,11.4
0829-1400,12.3,251,16.9
0829-1430,14.3,253,16.2
0829-1500,16.5,254,17.8
0829-1530,16.3,255,17.7
0829-1600,14.2,249,17.7
0829-1630,16,252,19.3
0829-1700,15.1,255,19
0829-1730,15.7,257,20.6
0829-1800,14.5,258,20
0829-1830,9.5,261,15.2
0829-1900,7.4,264,13.7
0829-1930,11.1,266,18.5
0829-2000,9.4,256,18.3
0829-2030,2.8,267,11.3
0829-2100,4.6,261,10.6
0829-2130,1.1,261,10.4
0829-2200,2.5,236,10.4
0829-2230,3.3,247,11
0829-2300,5,254,12.9
0830--070,1.3,246,11.9
0830-0000,1.6,226,11
0830-0030,1.9,122,11.3
0830-0100,3.4,127,8.2
0830-0130,4.3,153,4.3
0830-0200,4.7,193,11.6
0830-0230,5.4,215,12.8
0830-0300,6.7,211,12.4
0830-0330,8,218,13.4
0830-0400,8.4,230,13.6
0830-0430,7.9,235,13.5
0830-0500,6.8,224,11.5
0830-0530,6.6,226,8.9
0830-0600,6.2,209,8.5
0830-0630,8.6,206,9.2
0830-0700,8.1,216,8.2
0830-0730,6.6,218,6.9
0830-0800,5,215,7.9
0830-0830,5.2,283,9.5
0830-0900,10.3,261,10.2
0830-0930,6.1,270,9.8
0830-1000,7.9,272,9.8
0830-1030,9.2,264,9.2
0830-1100,10.4,259,10.4
0830-1130,10,263,10
0830-1200,11.4,264,11.4
0830-1230,10.2,273,11.2
0830-1300,12.4,290,12.6
0830-1330,13.9,292,13.9
0830-1400,14.3,290,14.3
0830-1430,14.6,288,14.6
0830-1500,15.9,293,15.9
0830-1530,15.5,288,15.5
0830-1600,16,284,16
0830-1630,16.8,288,16.8
0830-1700,17,287,17
0830-1730,17.2,285,17.6
0830-1800,17.8,284,17.8
0830-1830,17.3,284,19.5
0830-1900,14.4,282,20.7
0830-1930,11.5,287,16
0830-2000,10,284,15.1
0830-2030,6.6,291,13.3
0830-2100,6.5,283,12.6
0830-2130,5.2,271,12
0830-2200,5.2,266,11.9
0830-2230,4.7,266,11.9
0830-2300,3.2,251,10.6
