0907-0800,1.7,124,3.7
0907-0830,1.1,282,6
0907-0900,1.6,306,4.6
0907-0930,2.2,298,5.5
0907-1000,8.5,256,8.5
0907-1030,10.3,253,10.3
0907-1100,10.8,252,10.8
0907-1130,13.3,258,13.3
0907-1200,14.1,262,14.1
0907-1230,14.6,268,14.7
0907-1300,13.9,269,13.8
0907-1330,13.4,278,13.4
0907-1400,12.8,290,12.8
0907-1430,12.4,294,12.4
0907-1500,11.9,302,12
0907-1530,11.4,309,11.4
0907-1600,11.7,313,11.7
0907-1630,11.6,323,11.7
0907-1700,10.5,324,10.7
0907-1730,11.1,326,11.8
0907-1800,11.1,331,12.5
0907-1830,10.8,334,12.6
0907-1900,11.3,336,12
0907-1930,10.9,340,12.8
0907-2000,10.9,346,12.4
0907-2030,9.9,346,12.1
0907-2100,8.8,346,11.9
0907-2130,8.1,341,9.5
0907-2200,7.6,341,9.5
0907-2230,8.1,333,9.6
0907-2300,9.4,331,9.9
0908--070,8.9,332,13.6
0908-0000,8.7,334,13.2
0908-0030,10.5,324,14.9
0908-0100,9.9,331,13.1
0908-0130,9.8,333,13.1
0908-0200,10.5,331,13.6
0908-0230,10.8,334,13.5
0908-0300,10.7,338,13.8
0908-0330,9.5,345,14.3
0908-0400,7.9,350,11.5
0908-0430,7.6,342,11.8
0908-0500,7.5,340,12.6
0908-0530,7.2,335,12.6
0908-0600,6.3,330,11.2
0908-0630,5.8,327,10.5
0908-0700,5.8,328,10.3
0908-0730,3.2,036,3.9
0908-0800,1.4,115,2.1
0908-0830,0.7,227,2.4
0908-0900,1.9,292,2.7
0908-0930,6.2,287,6.2
0908-1000,8.6,278,8.6
0908-1030,10.1,276,10.1
0908-1100,11.5,273,11.5
0908-1130,10.8,279,10.8
0908-1200,10.4,295,10.4
0908-1230,10.9,309,10.9
0908-1300,10.5,312,10.6
0908-1330,11.1,314,11.1
0908-1400,10.8,317,11.8
0908-1430,11.4,321,12.2
0908-1500,12.3,327,13.7
0908-1530,12,331,14.7
0908-1600,12.7,332,14.7
0908-1630,13.6,337,16
0908-1700,14.1,342,16.8
0908-1730,15.2,345,18.1
0908-1800,15.1,348,18.5
0908-1830,14.7,350,18.1
0908-1900,14.3,351,17.5
0908-1930,14.1,350,17.1
0908-2000,14.4,353,16.6
0908-2030,13.9,354,16.4
0908-2100,13.5,354,15.5
0908-2130,12.2,356,14.6
0908-2200,10.4,353,14.1
0908-2230,9.8,350,13.7
0908-2300,9.7,350,13.5
