0816-0800,3.3,240,4.7
0816-0830,2.5,262,3.4
0816-0900,6.9,282,6.9
0816-0930,8.3,280,8.3
0816-1000,9.1,279,9.1
0816-1030,10.6,279,10.6
0816-1100,12.6,277,12.7
0816-1130,13.2,277,13.2
0816-1200,14,275,14
0816-1230,13.7,276,13.6
0816-1300,13.1,280,13.1
0816-1330,13.3,282,13.3
0816-1400,12.9,293,12.8
0816-1430,12.9,293,12.9
0816-1500,12.5,299,12.5
0816-1530,11.7,304,11.7
0816-1600,12.6,313,12.6
0816-1630,13.7,317,13.7
0816-1700,11.8,323,12.5
0816-1730,13.6,327,14
0816-1800,11.7,334,12
0816-1830,13.5,333,13.5
0816-1900,10.4,341,14.2
0816-1930,9.8,343,13.2
0816-2000,9.5,346,12.1
0816-2030,8.3,348,12.1
0816-2100,8.7,346,11.7
0816-2130,8.6,345,11.8
0816-2200,8.3,340,10.9
0816-2230,7.7,347,10.4
0816-2300,7.8,338,9.8
0817--070,7.8,338,9.9
0817-0000,6.9,335,10.3
0817-0030,5.6,350,9.5
0817-0100,3.8,033,5.2
0817-0130,3.8,028,4.8
0817-0200,4.3,028,5.2
0817-0230,3.5,027,5.3
0817-0300,4.2,037,5.2
0817-0330,3.2,030,4.6
0817-0400,3.6,036,4.5
0817-0430,3.1,035,3.1
0817-0500,3.6,050,3.6
0817-0530,3,063,3
0817-0600,2.9,074,2.9
0817-0630,3.3,089,3.3
0817-0700,2.5,113,2.5
0817-0730,2.1,111,2.1
0817-0800,1,109,5.7
0817-0830,2.1,260,5.6
0817-0900,4.9,284,7.2
0817-0930,7.3,273,7.4
0817-1000,7.4,280,7.4
0817-1030,9,282,9
0817-1100,9,284,9
0817-1130,10.1,284,10.1
0817-1200,9.9,295,9.9
0817-1230,10.7,288,10.7
0817-1300,10.8,288,10.8
0817-1330,12.4,285,12.4
0817-1400,12.9,283,12.9
0817-1430,12.2,284,12.2
0817-1500,11.9,287,11.9
0817-1530,11.9,291,11.9
0817-1600,10.4,291,10.7
0817-1630,9.8,287,11.2
0817-1700,10,291,11.2
0817-1730,10.2,284,11.6
0817-1800,9.6,285,10.7
0817-1830,8.5,282,10
0817-1900,8.5,288,10.2
0817-1930,8.6,286,10
0817-2000,8.5,285,9.1
0817-2030,7.2,279,9.2
0817-2100,7.6,293,8.6
0817-2130,7.8,283,9.2
0817-2200,8.2,279,8.2
0817-2230,6,282,8.4
0817-2300,8.2,298,8.2
