0818-0800,4.7,284,10.5
0818-0830,4.6,279,9.2
0818-0900,5,261,10.5
0818-0930,6,260,9.9
0818-1000,6.8,261,9
0818-1030,7.9,260,8.9
0818-1100,8.8,262,9.3
0818-1130,9.2,270,9.9
0818-1200,9.2,272,10.5
0818-1230,10.1,261,10.5
0818-1300,10.8,256,10.9
0818-1330,10.9,258,11
0818-1400,11.4,257,11.4
0818-1430,12.5,261,12.5
0818-1500,13.3,261,13.3
0818-1530,14.4,260,14.4
0818-1600,15.4,258,15.4
0818-1630,15.9,257,15.9
0818-1700,15.9,260,15.9
0818-1730,15.7,263,15.8
0818-1800,13.1,281,13.1
0818-1830,13.3,307,13.2
0818-1900,13.4,323,13.4
0818-1930,12.2,322,13.3
0818-2000,9.5,327,14.4
0818-2030,7.3,293,13.4
0818-2100,5.6,278,12.9
0818-2130,5.7,268,10.6
0818-2200,4.9,257,9.3
0818-2230,4.8,257,8.9
0818-2300,4.4,262,8.8
0819--070,4,267,10.2
0819-0000,4.4,281,10.8
0819-0030,4.3,303,10.5
0819-0100,4.6,312,9.9
0819-0130,4.9,315,9.8
0819-0200,5.4,318,10.3
0819-0230,5.6,321,10.8
0819-0300,5.4,325,11.5
0819-0330,4.9,323,9.1
0819-0400,4.3,327,7.9
0819-0430,3.8,332,7
0819-0500,3.8,335,6.2
0819-0530,4.1,338,5.4
0819-0600,4.3,338,5.2
0819-0630,4.3,336,4.9
0819-0700,4.4,322,5.1
0819-0730,2.6,286,4.2
0819-0800,2.2,260,2.6
0819-0830,2.7,267,3.3
0819-0900,3.9,266,3.9
0819-0930,3.9,266,3.9
0819-1000,4.6,264,4.6
0819-1030,5.3,261,5.3
0819-1100,5.6,262,5.5
0819-1130,5.6,264,5.6
0819-1200,6.5,264,6.5
0819-1230,7.4,262,7.4
0819-1300,8.4,260,8.4
0819-1330,8.8,260,8.8
0819-1400,9.2,268,9.2
0819-1430,10,264,10
0819-1500,10.6,262,10.6
0819-1530,11.5,260,11.5
0819-1600,11.5,259,11.5
0819-1630,11.3,262,11.3
0819-1700,11.9,266,11.9
0819-1730,13.6,266,13.6
0819-1800,11.8,271,11.8
0819-1830,13.1,320,13.1
0819-1900,13.6,328,13.6
0819-1930,11.2,332,11.4
0819-2000,8.9,336,12.5
0819-2030,7.6,331,12
0819-2100,7.4,330,8.7
0819-2130,6.1,328,8
0819-2200,4.1,299,10
0819-2230,4,295,9.8
0819-2300,4.4,292,9.7
