0822-0800,6.1,223,6.1
0822-0830,6.7,228,6.7
0822-0900,6.9,229,6.9
0822-0930,8.1,222,8.1
0822-1000,7.9,240,7.9
0822-1030,8.5,245,8.5
0822-1100,8.8,252,8.8
0822-1130,9.6,259,9.6
0822-1200,9.8,268,9.8
0822-1230,8.5,278,8.5
0822-1300,8.6,281,8.6
0822-1330,10,281,10
0822-1400,9.5,293,9.5
0822-1430,9.8,296,9.8
0822-1500,10.9,287,10.9
0822-1530,10.7,300,11
0822-1600,10,308,11.1
0822-1630,9.7,304,12.1
0822-1700,10.2,308,12.4
0822-1730,10.9,307,10.9
0822-1800,7.9,311,11.7
0822-1830,9.5,313,11.2
0822-1900,9.9,310,11.5
0822-1930,8.4,306,10.2
0822-2000,6.1,305,10.4
0822-2030,5.9,310,9.1
0822-2100,4.8,309,8.9
0822-2130,5.3,311,8.7
0822-2200,5.8,308,8.3
0822-2230,5.8,304,8.1
0822-2300,5,302,7.2
0823--070,5.3,298,7.5
0823-0000,5.1,287,8.4
0823-0030,5.3,277,9.1
0823-0100,5.8,276,8.7
0823-0130,5.5,268,8.3
0823-0200,5.8,269,8.6
0823-0230,5.3,274,7.9
0823-0300,5.7,269,6.7
0823-0330,4.4,243,6.6
0823-0400,4.7,255,5.6
0823-0430,5.3,256,5.3
0823-0500,5.3,236,5.3
0823-0530,5.5,229,5.5
0823-0600,4.5,205,5.3
0823-0630,8.4,155,8.4
0823-0700,8.8,162,8.8
0823-0730,9.1,169,9.1
0823-0800,9.7,187,9.7
0823-0830,10.2,192,10.2
0823-0900,10.7,201,10.7
0823-0930,8.4,220,9.8
0823-1000,9.6,214,9.6
0823-1030,9.8,227,9.8
0823-1100,9.6,238,9.6
0823-1130,9.2,246,9.2
0823-1200,10.9,253,10.9
0823-1230,9.3,260,9.3
0823-1300,8.4,268,9.4
0823-1330,9.9,273,9.9
0823-1400,9.5,286,9.9
0823-1430,8.2,288,11.6
0823-1500,10,293,10.2
0823-1530,8.8,296,9.1
0823-1600,10.1,302,10
0823-1630,8.6,303,9.8
0823-1700,7.5,313,10.6
0823-1730,6.7,320,10.5
0823-1800,7.6,323,11.1
0823-1830,7.4,323,11.3
0823-1900,7.7,328,8.7
0823-1930,7.4,324,8.2
0823-2000,6.4,331,9.9
0823-2030,5.4,330,8.1
0823-2100,5.7,329,8.6
0823-2130,5.1,328,6.5
0823-2200,2.9,332,6.8
0823-2230,3.4,314,5.3
0823-2300,2.6,302,6.5
