0906-0800,9.2,185,9.4
0906-0830,8.7,220,8.7
0906-0900,9.6,218,9.6
0906-0930,9.1,225,9.1
0906-1000,9.8,226,9.8
0906-1030,10.6,223,10.6
0906-1100,12,225,12
0906-1130,10.5,227,10.5
0906-1200,11.3,241,11.3
0906-1230,10.9,249,10.9
0906-1300,11,262,11.4
0906-1330,9.8,267,11.3
0906-1400,9.7,272,11.7
0906-1430,10.9,280,11.8
0906-1500,9.9,284,11.4
0906-1530,9.6,282,12
0906-1600,9.9,292,10.9
0906-1630,9.2,293,10.7
0906-1700,9.1,303,10
0906-1730,7.6,297,9.6
0906-1800,7.1,295,10
0906-1830,6.4,296,9.7
0906-1900,6.7,288,8.7
0906-1930,5.5,292,8.6
0906-2000,4.9,283,6.4
0906-2030,4.3,282,5.3
0906-2100,4.4,267,5.5
0906-2130,4.5,256,4.7
0906-2200,4.7,254,6.7
0906-2230,3.1,282,4.2
0906-2300,3.6,274,6.1
0907--070,3.1,291,5.2
0907-0000,3.2,262,4.4
0907-0030,2.8,282,4.6
0907-0100,4.4,272,4.9
0907-0130,4.2,273,4.5
0907-0200,3.9,270,4.3
0907-0230,4.3,256,5.9
0907-0300,2.9,241,3.6
0907-0330,3.9,223,4.4
0907-0400,7,158,7
0907-0430,7.4,158,7.4
0907-0500,8.4,161,8.4
0907-0530,9.6,168,9.6
0907-0600,9.4,169,9.4
0907-0630,9.6,166,9.6
0907-0700,9.5,168,9.5
0907-0730,9,167,9.6
0907-0800,7.9,172,7.9
0907-0830,8.3,181,8.3
0907-0900,8.8,189,8.8
0907-0930,11.1,201,11
0907-1000,10.5,209,10.5
0907-1030,9.1,223,9.1
0907-1100,9.1,227,9.1
0907-1130,7.7,248,7.7
0907-1200,7.4,260,7.4
0907-1230,8.6,265,8.6
0907-1300,8.1,283,8.1
0907-1330,8.7,287,8.7
0907-1400,9.2,311,9.2
0907-1430,9.5,316,9.5
0907-1500,10.5,317,10.5
0907-1530,9.9,325,10.3
0907-1600,10.1,328,10.5
0907-1630,10.7,328,11.3
0907-1700,9.3,335,12
0907-1730,10.3,334,11.9
0907-1800,10.7,343,13.8
0907-1830,12.2,340,12.2
0907-1900,11.4,345,11.4
0907-1930,11.8,340,13.1
0907-2000,11.2,339,13.2
0907-2030,9.6,347,12.3
0907-2100,9.8,336,11
0907-2130,9,336,10.2
0907-2200,8.7,338,11.5
0907-2230,9,334,11.5
0907-2300,7.5,337,9.8
