0904-0800,8.2,178,9
0904-0830,8.2,199,8.2
0904-0900,9.4,217,9.4
0904-0930,7.5,216,7.5
0904-1000,8.8,226,8.8
0904-1030,8.1,225,8.1
0904-1100,7.7,230,7.7
0904-1130,9.1,240,9.1
0904-1200,10,245,10
0904-1230,9.1,256,9.1
0904-1300,9.4,258,9.4
0904-1330,9.1,257,9.1
0904-1400,8.3,262,8.3
0904-1430,8.6,266,8.6
0904-1500,7.9,270,7.9
0904-1530,8.5,277,8.5
0904-1600,8.7,273,8.7
0904-1630,8.8,284,8.8
0904-1700,9.7,283,9.7
0904-1730,7.6,293,7.9
0904-1800,8.6,290,8.6
0904-1830,6.9,300,7.7
0904-1900,8,293,8
0904-1930,5,310,6.6
0904-2000,5.4,324,5.8
0904-2030,5.5,299,5.9
0904-2100,4.7,306,6.5
0904-2130,4,327,5.2
0904-2200,4.8,303,5.4
0904-2230,4.5,301,5.6
0904-2300,3.3,300,5.1
0905--070,2,305,4.9
0905-0000,2.2,255,4.3
0905-0030,2.7,239,4.2
0905-0100,4.4,123,4.4
0905-0130,5.9,131,5.9
0905-0200,5.8,139,5.8
0905-0230,6.4,133,6.5
0905-0300,6.3,143,6.3
0905-0330,6.5,129,6.5
0905-0400,7.1,126,7.2
0905-0430,7.7,145,7.7
0905-0500,8.2,148,8.2
0905-0530,8.6,144,8.6
0905-0600,9.3,135,9.3
0905-0630,9.2,147,9.2
0905-0700,7.8,147,7.8
0905-0730,6.4,148,7
0905-0800,6.7,158,7.3
0905-0830,7.6,182,7.6
0905-0900,7.9,196,9
0905-0930,8.2,202,8.2
0905-1000,7.9,199,7.9
0905-1030,7.5,245,7.5
0905-1100,8.5,239,8.5
0905-1130,8.6,253,8.6
0905-1200,9.1,251,9.1
0905-1230,9.4,258,9.4
0905-1300,8.7,267,8.7
0905-1330,9.7,275,9.7
0905-1400,9.4,270,9.4
0905-1430,9.6,278,9.6
0905-1500,9.6,284,9.5
0905-1530,9.7,286,9.7
0905-1600,8,295,9.2
0905-1630,9.6,293,10
0905-1700,8.3,305,9.1
0905-1730,6.6,306,9.1
0905-1800,7.6,309,8.4
0905-1830,6.3,316,8.1
0905-1900,6.1,317,7.8
0905-1930,5.8,316,7.6
0905-2000,5.4,307,6.9
0905-2030,5,299,6.6
0905-2100,4.7,309,5.4
0905-2130,3.6,300,5.2
0905-2200,4.2,275,5.2
0905-2230,3.6,272,4.8
0905-2300,3.2,242,5.5
