0904-0800,10.3,183,10.9
0904-0830,11,189,11
0904-0900,9.5,191,10.7
0904-0930,9.4,209,9.4
0904-1000,9.3,214,9.2
0904-1030,8.4,213,10
0904-1100,10.2,223,10.2
0904-1130,9.5,238,9.5
0904-1200,9.4,234,9.4
0904-1230,9.1,239,9.1
0904-1300,8.2,241,8.2
0904-1330,8.4,241,8.4
0904-1400,8.8,246,8.8
0904-1430,9.2,251,9.2
0904-1500,8.3,253,8.3
0904-1530,8.5,259,8.5
0904-1600,7.5,267,7.5
0904-1630,7.4,273,7.5
0904-1700,8.9,274,8.9
0904-1730,7,280,7.7
0904-1800,6.8,284,7.7
0904-1830,7.9,296,7.9
0904-1900,5.2,298,6.6
0904-1930,5.8,302,6.7
0904-2000,5.1,305,6.5
0904-2030,4.9,291,5.3
0904-2100,4.2,314,5.9
0904-2130,4.1,292,5.5
0904-2200,3.4,302,5.5
0904-2230,2.9,306,5.3
0904-2300,2.2,290,4.9
0905--070,2.5,299,5.2
0905-0000,3.1,265,5.2
0905-0030,2.6,253,3.6
0905-0100,4.5,230,4.5
0905-0130,3.3,204,5.5
0905-0200,3.4,182,5.3
0905-0230,3.6,176,5.4
0905-0300,4.7,168,5.6
0905-0330,5.1,171,5.8
0905-0400,6.2,175,6.2
0905-0430,6.9,165,7.2
0905-0500,7.1,163,8.1
0905-0530,7.9,162,8
0905-0600,7.8,155,8.7
0905-0630,7.1,155,7.9
0905-0700,6.8,157,7.5
0905-0730,6.9,166,7.4
0905-0800,7.2,180,7.2
0905-0830,7.7,192,7.7
0905-0900,8.1,201,8.3
0905-0930,9.4,205,9.4
0905-1000,9.7,203,9.7
0905-1030,9.1,219,9.1
0905-1100,7.7,234,7.7
0905-1130,9,245,9
0905-1200,9.6,244,9.6
0905-1230,8,247,8
0905-1300,10.1,252,10.1
0905-1330,8.9,265,8.9
0905-1400,9.5,272,9.4
0905-1430,10.1,265,10.1
0905-1500,9.3,278,9.3
0905-1530,6.6,274,8.3
0905-1600,8.6,288,8.6
0905-1630,7.9,285,8.4
0905-1700,6.2,294,8.1
0905-1730,7.4,289,7.8
0905-1800,5.6,301,7.3
0905-1830,6.1,304,7.2
0905-1900,4.7,311,6.8
0905-1930,4.9,303,6.7
0905-2000,4.7,307,6.2
0905-2030,4.6,300,5.7
0905-2100,3.6,290,5.8
0905-2130,4.2,296,6.1
0905-2200,3.1,266,5.7
0905-2230,4.9,261,5.6
0905-2300,4.5,252,5.7
