0902-0800,4.7,006,7.4
0902-0830,3.5,355,6.5
0902-0900,3.7,339,5.8
0902-0930,3.3,318,3.9
0902-1000,3.8,318,4.5
0902-1030,5,311,5
0902-1100,5.4,310,5.4
0902-1130,6,303,6
0902-1200,6.5,309,6.5
0902-1230,6.8,312,6.8
0902-1300,8.3,318,8.3
0902-1330,9,324,9
0902-1400,10.8,326,10.8
0902-1430,11.3,328,11.3
0902-1500,10.7,330,11.5
0902-1530,12.6,331,12.6
0902-1600,11.9,335,11.9
0902-1630,12.3,333,12.3
0902-1700,11.5,340,12.1
0902-1730,12.1,340,13
0902-1800,11.7,345,13.1
0902-1830,12,347,13.3
0902-1900,11.7,349,13.3
0902-1930,11.2,349,13.1
0902-2000,11.1,351,13.5
0902-2030,11,352,13.4
0902-2100,10.8,351,13.1
0902-2130,10.2,352,12.4
0902-2200,9.2,347,11.2
0902-2230,8.3,340,9.9
0902-2300,7.4,331,8.7
0903--070,6.7,321,7.6
0903-0000,5.9,305,6.5
0903-0030,5.3,293,5.7
0903-0100,5.3,282,5.6
0903-0130,4.9,277,4.9
0903-0200,4.6,266,5.5
0903-0230,4.5,261,5.3
0903-0300,5.6,264,5.6
0903-0330,5.3,262,6.3
0903-0400,4.6,268,5.7
0903-0430,3.9,276,5.6
0903-0500,3.9,277,5.5
0903-0530,3.6,264,4.9
0903-0600,3.8,207,4.8
0903-0630,4.3,159,4.3
0903-0700,4.2,155,4.2
0903-0730,4.4,163,4.4
0903-0800,4.5,190,4.5
0903-0830,6.3,202,6.3
0903-0900,6.3,204,6.3
0903-0930,6.4,210,6.4
0903-1000,6.4,217,6.4
0903-1030,6.6,225,6.6
0903-1100,6.6,241,6.6
0903-1130,7.4,247,7.4
0903-1200,7.6,255,7.6
0903-1230,7,263,7
0903-1300,7.4,265,7.4
0903-1330,7.7,273,8.2
0903-1400,7.7,276,7.7
0903-1430,9,283,9
0903-1500,8.6,282,8.6
0903-1530,8.4,283,8.4
0903-1600,11.5,291,11.4
0903-1630,7.8,289,7.8
0903-1700,7.8,292,7.8
0903-1730,9,301,9
0903-1800,10.9,302,10.9
0903-1830,9.1,305,9.1
0903-1900,7.1,306,7.2
0903-1930,6.6,306,7.5
0903-2000,6.9,304,6.9
0903-2030,5.7,303,5.7
0903-2100,5.7,301,5.7
0903-2130,6.4,289,6.4
0903-2200,7.1,304,7.1
0903-2230,6.2,298,6.2
0903-2300,6.8,298,6.8
