0829-0800,9.6,185,15.5
0829-0830,12.4,199,16
0829-0900,13.6,203,16.6
0829-0930,14.1,205,17.7
0829-1000,14.4,207,17.6
0829-1030,14.5,207,17.4
0829-1100,15,213,17.4
0829-1130,15.4,218,18.3
0829-1200,15.8,221,18.9
0829-1230,15.4,221,19.1
0829-1300,15.4,225,20.2
0829-1330,15.4,228,21.9
0829-1400,14.6,233,24.5
0829-1430,14.1,236,21.9
0829-1500,14.1,242,21
0829-1530,13.1,242,21.5
0829-1600,12.3,241,20.5
0829-1630,11.2,240,18.4
0829-1700,9.7,229,20.1
0829-1730,11.9,235,23.2
0829-1800,13.2,238,22.1
0829-1830,14.4,240,17.8
0829-1900,13.9,242,19.3
0829-1930,15,254,16.5
0829-2000,12.9,256,19.7
0829-2030,15.5,271,17.4
0829-2100,14.6,265,17.6
0829-2130,14.8,264,14.9
0829-2200,14.2,262,14.2
0829-2230,14.8,259,14.8
0829-2300,15.5,257,15.5
0830--070,13.3,252,14.1
0830-0000,13.7,249,14.2
0830-0030,12.8,246,13.2
0830-0100,12.9,228,14.3
0830-0130,14,227,16.9
0830-0200,10.4,276,11.3
0830-0230,11.7,294,11.7
0830-0300,10.3,297,11.8
0830-0330,9.4,297,11.4
0830-0400,9.2,300,11.2
0830-0430,10,285,11.6
0830-0500,8.1,285,11.4
0830-0530,7.9,292,11.4
0830-0600,6.3,284,10.4
0830-0630,4.1,278,9.1
0830-0700,5.5,301,9
0830-0730,1.4,355,3.3
0830-0800,6.3,294,9.3
0830-0830,8.7,286,10
0830-0900,9.3,281,10
0830-0930,8.6,277,10
0830-1000,9.7,278,10.1
0830-1030,9,269,9.9
0830-1100,10.1,265,10.5
0830-1130,10.6,260,10.9
0830-1200,10.9,260,11.1
0830-1230,11.2,259,11.2
0830-1300,12.1,261,12.1
0830-1330,11.9,257,11.9
0830-1400,11.9,259,11.9
0830-1430,11.7,258,11.7
0830-1500,11.7,261,11.8
0830-1530,11.5,261,11.7
0830-1600,11.1,265,11.6
0830-1630,11,269,11.6
0830-1700,9.7,272,10.8
0830-1730,9.3,277,9.8
0830-1800,8.2,271,9.2
0830-1830,7.7,272,9.3
0830-1900,7.7,280,9.2
0830-1930,6.7,282,8.1
0830-2000,6.4,276,7.2
0830-2030,6.1,270,6.1
0830-2100,4.7,274,6.4
0830-2130,3.9,261,4.9
0830-2200,4.2,274,5.1
0830-2230,3.9,268,4.9
0830-2300,4.3,245,4.3
