0816-0800,5.5,196,5.5
0816-0830,6.9,210,6.9
0816-0900,5.7,220,5.7
0816-0930,5.1,230,5.1
0816-1000,6.3,255,6.3
0816-1030,7.7,266,7.7
0816-1100,8.6,262,8.6
0816-1130,9.2,269,9.2
0816-1200,10.5,271,10.5
0816-1230,10.3,275,10.3
0816-1300,10.2,279,10.2
0816-1330,10.5,287,10.5
0816-1400,11.2,297,11.2
0816-1430,11.6,300,11.6
0816-1500,11.8,310,11.8
0816-1530,12.2,315,12.2
0816-1600,11.9,319,12.5
0816-1630,12.4,323,13.3
0816-1700,13.1,328,13.1
0816-1730,13.5,329,14.3
0816-1800,13.4,331,15.4
0816-1830,12.7,336,12.7
0816-1900,13.1,336,13.1
0816-1930,12.6,338,12.6
0816-2000,11.3,341,12.8
0816-2030,11.3,337,12.3
0816-2100,9.7,342,11
0816-2130,8.8,342,11.3
0816-2200,10,339,10.2
0816-2230,8.3,346,8.3
0816-2300,8.7,345,8.7
0817--070,9.4,339,9.4
0817-0000,7.3,344,8.1
0817-0030,6.8,336,7.3
0817-0100,6.2,335,7.1
0817-0130,4.4,335,6.1
0817-0200,6.1,328,6.7
0817-0230,5.4,329,5.8
0817-0300,6.5,334,6.5
0817-0330,1.1,115,2.6
0817-0400,3.7,134,3.7
0817-0430,3.7,122,3.7
0817-0500,4.9,148,4.9
0817-0530,6,154,6
0817-0600,5.8,152,5.8
0817-0630,5.8,150,5.7
0817-0700,4.7,155,4.7
0817-0730,4.7,184,4.7
0817-0800,4.8,212,4.8
0817-0830,3.3,252,5.2
0817-0900,5,259,5.3
0817-0930,5.8,269,5.8
0817-1000,6.6,261,6.6
0817-1030,6.7,268,6.7
0817-1100,7.9,282,7.9
0817-1130,8.1,282,8.1
0817-1200,8.7,285,8.7
0817-1230,10.5,282,10.5
0817-1300,9.4,281,9.6
0817-1330,10.1,283,10.1
0817-1400,10,288,10
0817-1430,10.7,285,10.7
0817-1500,10.3,290,10.9
0817-1530,10.4,288,10.4
0817-1600,10.2,293,10.3
0817-1630,9.3,287,11
0817-1700,9.9,289,10.1
0817-1730,8,281,10.3
0817-1800,8.5,284,9.5
0817-1830,8.5,279,8.8
0817-1900,6.8,292,8.9
0817-1930,8.8,286,8.8
0817-2000,6.3,272,8.7
0817-2030,7.6,283,9.1
0817-2100,7.6,284,8
0817-2130,7.9,292,8.2
0817-2200,6.6,287,8.4
0817-2230,7.1,276,7.9
0817-2300,8.2,290,8.2
