0817-0800,3.7,184,4
0817-0830,4.4,201,4.8
0817-0900,4.7,212,6
0817-0930,4,236,6
0817-1000,6.1,255,6.2
0817-1030,6.7,263,7.2
0817-1100,7,273,7.3
0817-1130,9,264,9
0817-1200,9.1,268,9.1
0817-1230,9.5,269,9.8
0817-1300,10.6,268,10.6
0817-1330,11.1,272,11.1
0817-1400,11,268,11
0817-1430,10.1,271,10.2
0817-1500,10.4,272,10.4
0817-1530,9.9,277,9.9
0817-1600,10,266,10
0817-1630,10.6,274,10.6
0817-1700,9.1,276,10.1
0817-1730,11.2,275,11.2
0817-1800,9.9,275,9.9
0817-1830,9.8,283,9.8
0817-1900,7.3,298,8.2
0817-1930,6.8,309,7.4
0817-2000,6.7,294,6.9
0817-2030,6.8,292,6.8
0817-2100,6.2,291,7.5
0817-2130,5.6,298,7.3
0817-2200,7.6,282,7.6
0817-2230,6.8,322,6.8
0817-2300,3.8,304,5.1
0818--070,4.7,306,4.7
0818-0000,2.7,294,4.7
0818-0030,1.2,015,3.6
0818-0100,2.1,060,3.7
0818-0130,3.7,111,3.7
0818-0200,4,105,4
0818-0230,4.4,115,4.4
0818-0300,4.7,133,4.7
0818-0330,5.2,143,5.2
0818-0400,6.7,138,6.7
0818-0430,7.3,137,7.3
0818-0500,6.9,141,6.9
0818-0530,6.1,144,6.1
0818-0600,7.1,137,7.1
0818-0630,6,137,6
0818-0700,7.6,144,7.6
0818-0730,6.7,143,6.7
0818-0800,6.1,150,6.1
0818-0830,3.8,145,3.8
0818-0900,3.2,196,5.6
0818-0930,4.4,205,4.8
0818-1000,4.4,222,5.6
0818-1030,4,259,6.1
0818-1100,5.1,290,6.2
0818-1130,7,273,7
0818-1200,7.9,270,7.9
0818-1230,9.2,278,9.2
0818-1300,9.3,274,9.3
0818-1330,10.5,275,10.5
0818-1400,10.6,277,10.6
0818-1430,11.1,281,11
0818-1500,10.4,288,10.4
0818-1530,10.9,284,10.9
0818-1600,10.4,285,10.3
0818-1630,9.1,306,9.1
0818-1700,8.8,298,8.8
0818-1730,10,306,10
0818-1800,9.3,314,9.3
0818-1830,9.6,325,9.5
0818-1900,9.2,328,9.2
0818-1930,9.1,340,9.5
0818-2000,9.6,328,9.6
0818-2030,9.1,328,9.1
0818-2100,7.3,340,7.5
0818-2130,7.7,344,7.7
0818-2200,7.8,348,7.8
0818-2230,5.3,343,7.1
0818-2300,5.1,015,5.9
