0830-0800,10.5,277,11.6
0830-0830,9.7,287,11.2
0830-0900,10.4,298,10.6
0830-0930,9.5,292,10.4
0830-1000,6.7,304,8.6
0830-1030,9.7,273,10.9
0830-1100,11.1,237,11.1
0830-1130,11,255,11.4
0830-1200,12.6,250,12.6
0830-1230,12.5,251,13.9
0830-1300,13,253,14.9
0830-1330,11.6,256,14.3
0830-1400,15.1,263,15
0830-1430,13.7,261,13.7
0830-1500,13.5,265,13.5
0830-1530,13.6,261,13.6
0830-1600,12.7,266,12.7
0830-1630,12.8,266,12.8
0830-1700,12.9,265,12.9
0830-1730,13.2,267,13.2
0830-1800,13.4,253,13.4
0830-1830,10.3,272,11.2
0830-1900,10.6,276,10.8
0830-1930,9.5,273,9.5
0830-2000,8.2,283,8.3
0830-2030,7.3,273,7.3
0830-2100,6.1,271,6.6
0830-2130,6.4,280,6.4
0830-2200,6.8,279,6.8
0830-2230,8.3,267,8.3
0830-2300,3.6,278,4.3
0831--070,4.6,299,4.6
0831-0000,3.6,307,3.6
0831-0030,5,303,5
0831-0100,4,307,4
0831-0130,4.4,312,4.4
0831-0200,2,050,4
0831-0230,4,086,4
0831-0300,4.5,100,4.5
0831-0330,4.2,106,4.2
0831-0400,6.6,122,6.6
0831-0430,7.2,125,7.2
0831-0500,7.8,130,7.9
0831-0530,8.5,133,8.6
0831-0600,8,135,8
0831-0630,7.5,135,7.5
0831-0700,7.5,143,7.5
0831-0730,8.2,146,8.2
0831-0800,7.4,155,7.4
0831-0830,5.8,171,5.8
0831-0900,5.8,201,5.8
0831-0930,5.5,217,5.5
0831-1000,9.5,235,9.5
0831-1030,10.5,241,10.5
0831-1100,11.7,242,11.7
0831-1130,12.2,244,12.2
0831-1200,12.3,251,12.3
0831-1230,12,255,11.9
0831-1300,11.4,264,11.4
0831-1330,11.6,276,11.6
0831-1400,10.9,281,10.9
0831-1430,10.1,279,10.1
0831-1500,11.6,287,11.7
0831-1530,10.8,293,11
0831-1600,11.4,300,11.4
0831-1630,11.5,307,11.5
0831-1700,11,308,11
0831-1730,10.9,313,10.9
0831-1800,10.1,317,10.1
0831-1830,9.4,321,9.4
0831-1900,8.2,329,8.2
0831-1930,9.1,332,9.1
0831-2000,8.7,337,9
0831-2030,8.5,350,8.5
0831-2100,8.3,359,8.3
0831-2130,8.8,355,8.7
0831-2200,7.5,358,7.7
0831-2230,5.7,012,6.6
0831-2300,3.9,053,4.9
