0901-0800,3.4,121,3.4
0901-0830,0.4,055,3.1
0901-0900,2.2,329,3.1
0901-0930,2.6,298,3
0901-1000,4.1,279,4.1
0901-1030,5.3,279,5.3
0901-1100,6.7,283,6.7
0901-1130,8,290,8.1
0901-1200,8.9,290,8.9
0901-1230,9.8,303,9.8
0901-1300,9.6,305,9.6
0901-1330,9.6,307,9.7
0901-1400,10.4,313,10.4
0901-1430,10.9,315,10.9
0901-1500,11.5,320,11.5
0901-1530,12.2,326,12.2
0901-1600,12.1,328,12.1
0901-1630,12.4,331,12.4
0901-1700,12.3,335,12.3
0901-1730,12.7,340,12.7
0901-1800,12,345,12
0901-1830,10.8,353,10.7
0901-1900,11.2,355,12.5
0901-1930,11.7,349,11.7
0901-2000,10.7,358,10.7
0901-2030,10.7,008,11.5
0901-2100,10,006,10.3
0901-2130,9.2,015,10.1
0901-2200,9.1,001,9.7
0901-2230,7.7,017,9
0901-2300,6.7,007,8.5
0902--070,7.5,014,8.4
0902-0000,5.5,020,7.6
0902-0030,4,081,4.3
0902-0100,3.4,088,4.3
0902-0130,3.5,125,3.5
0902-0200,2.9,129,2.9
0902-0230,2.6,126,2.6
0902-0300,3.4,127,3.4
0902-0330,3.9,128,3.9
0902-0400,3.8,120,3.8
0902-0430,4,116,4
0902-0500,4.4,120,4.4
0902-0530,5.5,121,5.5
0902-0600,5.9,125,5.9
0902-0630,6.5,126,6.5
0902-0700,6,127,6
0902-0730,5.3,125,5.3
0902-0800,3.1,134,3.1
0902-0830,2,200,2.9
0902-0900,1.8,265,3.3
0902-0930,2.1,278,3.7
0902-1000,3.7,280,4.2
0902-1030,5.1,277,6.2
0902-1100,6.6,278,6.7
0902-1130,7,282,7.3
0902-1200,8.1,305,8.1
0902-1230,8.7,306,8.7
0902-1300,10.1,310,10.1
0902-1330,10.4,313,10.4
0902-1400,10.8,314,10.8
0902-1430,11.6,315,11.6
0902-1500,12.4,319,12.3
0902-1530,11.9,322,12.5
0902-1600,11.8,325,11.8
0902-1630,11.3,329,11.6
0902-1700,11,331,12.1
0902-1730,10.6,336,10.6
0902-1800,11.5,338,11.5
0902-1830,11,343,11
0902-1900,10,347,11.2
0902-1930,10.7,341,10.7
0902-2000,8.6,345,9.2
0902-2030,7.9,342,8
0902-2100,7.4,335,7.4
0902-2130,5.6,339,5.6
0902-2200,4.4,338,5.5
0902-2230,3.9,328,4
0902-2300,3,316,3.5
