0905-0800,5.9,168,5.9
0905-0830,5.4,193,5.4
0905-0900,5.9,209,5.9
0905-0930,5.7,214,5.7
0905-1000,6.8,221,6.8
0905-1030,7.3,229,7.3
0905-1100,7.8,232,7.8
0905-1130,8.6,240,8.6
0905-1200,9,249,8.9
0905-1230,8.7,251,8.7
0905-1300,9,266,9
0905-1330,9.8,272,9.8
0905-1400,10,280,10
0905-1430,11.2,287,11.2
0905-1500,10.8,294,10.8
0905-1530,10.3,298,10.3
0905-1600,10.2,298,10.1
0905-1630,10.1,303,10.1
0905-1700,9.9,308,10
0905-1730,8.3,314,8.9
0905-1800,9.2,317,9.6
0905-1830,7.2,326,9.3
0905-1900,6.6,338,8.9
0905-1930,5.4,338,8.2
0905-2000,5.5,335,5.9
0905-2030,4,340,5.1
0905-2100,1.8,360,4.8
0905-2130,2.3,340,3.9
0905-2200,2.4,322,3.9
0905-2230,0.3,352,1.3
0905-2300,0.2,167,0.2
0906--070,0.2,096,0.2
0906-0000,1.5,224,2.3
0906-0030,1.7,228,4.2
0906-0100,2.4,257,4.3
0906-0130,2.5,230,4.1
0906-0200,2.5,263,6
0906-0230,4,252,4.8
0906-0300,2.8,246,4.5
0906-0330,3.2,240,5.1
0906-0400,4,255,5.2
0906-0430,3.1,227,4.9
0906-0500,4.2,168,5.6
0906-0530,5.5,169,6.8
0906-0600,6.4,163,8
0906-0630,5.7,161,8.4
0906-0700,7.4,164,9.6
0906-0730,7.4,172,8.2
0906-0800,8.3,193,8.3
0906-0830,8.6,206,8.6
0906-0900,8.6,213,10
0906-0930,8.9,212,9.4
0906-1000,8.9,223,10.5
0906-1030,7.5,246,8.6
0906-1100,7.5,253,8.5
0906-1130,8.2,238,8.2
0906-1200,8.5,249,8.5
0906-1230,7.8,260,8.8
0906-1300,9.5,263,9.8
0906-1330,8.9,268,9.3
0906-1400,10,274,10.2
0906-1430,8.9,284,11.3
0906-1500,9.4,281,10.3
0906-1530,9.2,291,10.8
0906-1600,9.2,284,11
0906-1630,9.5,295,11.7
0906-1700,8.5,294,10.2
0906-1730,7.8,298,9.1
0906-1800,6.9,298,8.7
0906-1830,6.5,303,7.7
0906-1900,5.2,304,7.3
0906-1930,5,309,6.7
0906-2000,3.9,309,6.4
0906-2030,2.9,335,5.7
0906-2100,1.6,298,6.2
0906-2130,1.8,303,3.3
0906-2200,3.4,249,3.4
0906-2230,1.3,241,3.2
0906-2300,1.3,213,4.9
