0901-0800,4.3,116,4.3
0901-0830,1.7,114,2.9
0901-0900,1.9,311,2.8
0901-0930,3.6,315,3.6
0901-1000,4.8,314,4.9
0901-1030,5.7,304,5.7
0901-1100,7,299,7
0901-1130,7.7,296,7.7
0901-1200,8.7,298,8.7
0901-1230,8.9,296,8.9
0901-1300,9.1,304,9.3
0901-1330,10.1,316,10.1
0901-1400,10.2,318,10.2
0901-1430,10.5,321,10.5
0901-1500,10.7,327,10.7
0901-1530,10.9,332,10.9
0901-1600,11.2,334,11.2
0901-1630,11.5,337,11.5
0901-1700,11.9,340,11.9
0901-1730,12.5,344,12.5
0901-1800,12.7,348,12.7
0901-1830,12.4,352,12.4
0901-1900,12,358,12.1
0901-1930,11.8,001,11.8
0901-2000,11.4,007,11.8
0901-2030,11.2,011,11.4
0901-2100,10.5,009,11.2
0901-2130,9.9,015,10.6
0901-2200,9.1,015,9.7
0901-2230,9.1,010,9.3
0901-2300,7.6,014,8.6
0902--070,7.7,014,8.1
0902-0000,6.5,016,8.2
0902-0030,5.5,037,6.8
0902-0100,4.9,078,4.9
0902-0130,5.7,078,5.7
0902-0200,5,074,5
0902-0230,4.6,083,4.6
0902-0300,4,087,4
0902-0330,4.4,080,4.4
0902-0400,4.4,096,4.4
0902-0430,4.9,107,4.9
0902-0500,5.5,116,5.5
0902-0530,6.5,117,6.5
0902-0600,7,124,7
0902-0630,8.2,115,8.2
0902-0700,7.1,121,7.1
0902-0730,5.7,123,5.8
0902-0800,3.7,122,3.7
0902-0830,0.1,323,5.3
0902-0900,2.1,295,3.8
0902-0930,2.9,291,4.8
0902-1000,4.2,291,5.7
0902-1030,5.3,298,7.4
0902-1100,6.5,299,8.3
0902-1130,7.8,298,8.8
0902-1200,8.5,297,9.2
0902-1230,9,295,9.6
0902-1300,9.6,315,10.1
0902-1330,10.3,316,10.3
0902-1400,11.2,320,11.2
0902-1430,11.5,319,11.5
0902-1500,11.5,320,11.4
0902-1530,11.6,323,11.6
0902-1600,11.4,326,11.5
0902-1630,11.4,329,12.2
0902-1700,10.9,333,12.3
0902-1730,11.3,335,12
0902-1800,11.6,335,11.5
0902-1830,11.2,340,11.2
0902-1900,10.7,348,10.7
0902-1930,9.8,352,11.4
0902-2000,9.3,355,9.3
0902-2030,8.9,352,8.9
0902-2100,8.9,352,8.9
0902-2130,6.7,358,7
0902-2200,6.6,350,6.8
0902-2230,4.5,348,4.5
0902-2300,5.3,328,5.3
