0905-0800,5.5,179,5.5
0905-0830,3.7,197,5
0905-0900,3.7,232,4
0905-0930,5.9,242,5.9
0905-1000,6.2,243,6.2
0905-1030,7.8,248,7.8
0905-1100,9,245,9
0905-1130,9,253,9
0905-1200,8.4,262,8.4
0905-1230,9,285,9
0905-1300,9.5,288,9.5
0905-1330,10,290,10
0905-1400,9.8,291,9.8
0905-1430,10.4,298,10.4
0905-1500,10.4,299,10.4
0905-1530,11,304,11
0905-1600,11.2,311,11.2
0905-1630,9.5,317,9.5
0905-1700,10.4,321,10.4
0905-1730,9.4,329,9.7
0905-1800,9.3,333,10.2
0905-1830,8.6,340,10.4
0905-1900,7.1,349,10.2
0905-1930,5.2,005,10.6
0905-2000,5.5,355,8.8
0905-2030,3.6,014,7.6
0905-2100,3.3,004,5.1
0905-2130,3.3,016,6
0905-2200,2.7,012,5.1
0905-2230,2.4,020,5.3
0905-2300,1.9,040,2.8
0906--070,2.4,113,2.4
0906-0000,2.8,138,2.9
0906-0030,2.7,153,2.6
0906-0100,2.5,173,2.5
0906-0130,2.5,190,2.5
0906-0200,2.6,243,6
0906-0230,2.9,285,5.7
0906-0300,2.5,274,4.8
0906-0330,2,203,2
0906-0400,2.9,168,2.9
0906-0430,1.8,167,1.8
0906-0500,4,148,4
0906-0530,4.8,145,4.8
0906-0600,4.5,147,4.5
0906-0630,5.4,141,5.4
0906-0700,6.4,148,6.4
0906-0730,6.9,163,6.9
0906-0800,7.5,187,7.5
0906-0830,6.8,205,6.8
0906-0900,7.3,224,8.4
0906-0930,9.9,234,9.9
0906-1000,8.4,235,8.7
0906-1030,7.1,269,8.1
0906-1100,8.2,260,9.2
0906-1130,8.6,280,8.8
0906-1200,8.7,270,8.7
0906-1230,8.5,277,8.6
0906-1300,9.2,275,9.7
0906-1330,9.7,287,10.3
0906-1400,11.9,287,11.9
0906-1430,10.3,293,11.3
0906-1500,11,296,11.1
0906-1530,9.6,302,12.2
0906-1600,8,308,11.9
0906-1630,8.9,311,11.3
0906-1700,9.3,318,11.3
0906-1730,6.3,322,10.5
0906-1800,5.8,332,10.1
0906-1830,5.4,346,9.6
0906-1900,5.4,338,7.9
0906-1930,5.7,333,8.2
0906-2000,3,351,7.4
0906-2030,2.7,356,5.9
0906-2100,2.5,360,4.3
0906-2130,2.2,350,7.1
0906-2200,1.9,342,3.4
0906-2230,1.5,342,6.6
0906-2300,0.9,330,2.1
