0814-0800,3.4,238,6.6
0814-0830,3,244,6.9
0814-0900,2.7,250,7.3
0814-0930,3.2,244,7.3
0814-1000,2.9,228,7.8
0814-1030,2.8,221,9.3
0814-1100,3.6,222,9.7
0814-1130,3.4,234,9.7
0814-1200,3.9,222,9.4
0814-1230,4.7,219,9.2
0814-1300,5.2,243,7.4
0814-1330,7,237,8.1
0814-1400,13.4,247,13.4
0814-1430,14.6,276,14.6
0814-1500,15,268,15
0814-1530,16.9,284,16.9
0814-1600,17.9,285,17.9
0814-1630,16.9,284,16.9
0814-1700,15.7,283,15.7
0814-1730,14.6,283,15.5
0814-1800,12.2,284,13.8
0814-1830,10,286,12.6
0814-1900,6.8,287,13
0814-1930,3.9,273,8.4
0814-2000,7.6,267,9.7
0814-2030,7.7,248,12.4
0814-2100,6.7,236,11.8
0814-2130,6.8,242,10.1
0814-2200,5.9,253,8.2
0814-2230,4.8,267,7
0814-2300,3.9,263,6.3
0815--070,3.8,258,6.6
0815-0000,3.2,256,7.7
0815-0030,2.9,255,7
0815-0100,3.1,257,6.7
0815-0130,3.3,262,6.9
0815-0200,3.1,261,5.6
0815-0230,2.1,273,6.7
0815-0300,0.7,260,4.8
0815-0330,1.1,115,1
0815-0400,2.7,116,2.7
0815-0430,3,104,3
0815-0500,3.1,107,3.1
0815-0530,2.9,099,2.9
0815-0600,2.1,104,2.2
0815-0630,1.6,103,1.6
0815-0700,2.2,100,2.2
0815-0730,1.1,181,4.5
0815-0800,2.3,244,4.9
0815-0830,3.1,241,4.6
0815-0900,3.8,231,4.7
0815-0930,4,232,5
0815-1000,3.3,244,6.1
0815-1030,2.9,251,7.1
0815-1100,2.8,256,8.3
0815-1130,2.6,278,7.3
0815-1200,3.1,266,7
0815-1230,3.1,271,5.5
0815-1300,3.5,260,5.4
0815-1330,4.4,246,8.3
0815-1400,16.9,279,16.9
0815-1430,18.3,279,18.3
0815-1500,17.6,283,17.6
0815-1530,17.4,274,17.4
0815-1600,18.4,271,18.3
0815-1630,19.3,267,19.3
0815-1700,19.6,266,19.6
0815-1730,19.2,266,21.4
0815-1800,18.7,266,24.3
0815-1830,16.7,266,23.6
0815-1900,13.1,262,13.1
0815-1930,10.5,264,14.4
0815-2000,6.5,164,11.7
0815-2030,4,172,11.3
0815-2100,3.7,163,8.5
0815-2130,3.5,185,4.9
0815-2200,4.3,199,5.5
0815-2230,3.4,180,5.3
0815-2300,3.2,188,3.7
