0817-0800,1.4,141,2.9
0817-0830,5.9,236,5.9
0817-0900,4.9,221,5.7
0817-0930,4.9,224,5.7
0817-1000,5,233,6.2
0817-1030,6.6,258,6.6
0817-1100,7.7,250,7.7
0817-1130,8.6,254,8.6
0817-1200,8.5,266,8.5
0817-1230,10.1,267,10.1
0817-1300,8.4,263,8.7
0817-1330,9,272,9.1
0817-1400,9.4,268,9.3
0817-1430,10.4,269,10.4
0817-1500,9.5,271,9.5
0817-1530,9.5,268,9.5
0817-1600,9.3,274,9.3
0817-1630,9.4,275,9.4
0817-1700,7.9,272,8.3
0817-1730,10.2,284,10.1
0817-1800,9.2,283,9.2
0817-1830,8.8,282,8.7
0817-1900,7.6,291,7.6
0817-1930,5.6,299,6.8
0817-2000,5.3,303,6.9
0817-2030,9.3,313,9.3
0817-2100,6,285,6
0817-2130,5.1,309,6.1
0817-2200,3.8,318,6.9
0817-2230,3.7,329,4.7
0817-2300,3.5,348,3.5
0818--070,2.3,323,3.7
0818-0000,0.6,128,2.9
0818-0030,6.6,105,6.6
0818-0100,6.1,099,6.1
0818-0130,7.3,103,7.3
0818-0200,7.4,095,7.4
0818-0230,7.7,100,7.7
0818-0300,7.1,095,7.1
0818-0330,7.7,099,7.7
0818-0400,7.7,103,7.8
0818-0430,7.9,103,7.9
0818-0500,8.4,102,8.4
0818-0530,7.1,105,7.1
0818-0600,7.6,110,7.6
0818-0630,7.7,110,7.7
0818-0700,6.6,111,6.6
0818-0730,5,118,5
0818-0800,4.1,153,6.2
0818-0830,3.2,201,3.9
0818-0900,4.6,221,4.9
0818-0930,3.9,218,4.4
0818-1000,5.7,230,5.7
0818-1030,4.5,239,5
0818-1100,5,262,5.8
0818-1130,5.2,272,6.7
0818-1200,7.3,265,7.2
0818-1230,8.1,274,8.1
0818-1300,8.4,283,8.4
0818-1330,8.4,284,8.4
0818-1400,8.2,275,8.2
0818-1430,9.8,277,9.8
0818-1500,9.4,288,9.4
0818-1530,8.6,298,9.2
0818-1600,8.4,295,8.4
0818-1630,7.9,310,8
0818-1700,9.3,303,9.3
0818-1730,8.4,314,8.4
0818-1800,8.5,307,8.5
0818-1830,7.8,326,7.8
0818-1900,9,335,9
0818-1930,7.9,345,8.7
0818-2000,7.3,339,7.3
0818-2030,7.5,351,7.5
0818-2100,7,002,7
0818-2130,7.1,002,7.1
0818-2200,8.6,350,8.6
0818-2230,7.1,016,7.1
0818-2300,5.6,048,5.9
