0820-0800,6.7,008,10.6
0820-0830,8.1,354,11.5
0820-0900,7.8,345,10.2
0820-0930,8.1,338,9.9
0820-1000,8.3,332,9.3
0820-1030,9.2,325,9.2
0820-1100,11,323,11.1
0820-1130,10.9,326,10.9
0820-1200,11.2,328,11.2
0820-1230,11.9,329,11.9
0820-1300,12.7,332,12.7
0820-1330,14.1,334,14.1
0820-1400,14.9,338,14.9
0820-1430,15.7,340,15.7
0820-1500,16.7,341,16.7
0820-1530,18,343,18
0820-1600,19,345,19.2
0820-1630,19.9,349,20.4
0820-1700,19.6,350,20.6
0820-1730,19.5,350,24.3
0820-1800,19.2,350,23.9
0820-1830,18.7,350,23.6
0820-1900,18.3,349,23.3
0820-1930,17.6,348,22.3
0820-2000,17.6,349,21.5
0820-2030,17,351,20.4
0820-2100,16.7,352,19.9
0820-2130,16.3,352,19.3
0820-2200,15.6,354,19.2
0820-2230,15.5,357,19.2
0820-2300,15.4,358,19.6
0821--070,15.5,356,20.3
0821-0000,16.2,351,21.3
0821-0030,17.2,350,22.5
0821-0100,17.9,349,23.2
0821-0130,18.2,343,22.4
0821-0200,17.8,340,22.5
0821-0230,15,338,19
0821-0300,13.2,337,17.3
0821-0330,12.5,340,15.5
0821-0400,11.3,339,13
0821-0430,9.7,340,11.4
0821-0500,8.3,341,9.6
0821-0530,7.7,340,8.7
0821-0600,7.2,336,8
0821-0630,5.6,335,6.2
0821-0700,4.7,321,5.9
0821-0730,5.8,325,5.8
0821-0800,6.2,291,6.2
0821-0830,5,313,5
0821-0900,4.2,285,4.2
0821-0930,5.5,289,5.5
0821-1000,6.8,298,6.8
0821-1030,7.1,301,7.1
0821-1100,8.8,296,8.8
0821-1130,9.2,300,9.2
0821-1200,9.9,303,9.9
0821-1230,9.9,309,9.9
0821-1300,10.5,317,10.5
0821-1330,10.7,324,10.7
0821-1400,11.3,327,11.3
0821-1430,11.4,329,12.6
0821-1500,11.9,330,14.5
0821-1530,12.9,331,15.9
0821-1600,14.2,335,17
0821-1630,15.1,338,18.1
0821-1700,15.9,340,19.2
0821-1730,16.7,341,20.2
0821-1800,17.1,343,21.4
0821-1830,17,344,21.3
0821-1900,17,346,22
0821-1930,17.9,349,23.4
0821-2000,18,352,23.3
0821-2030,17.6,351,23
0821-2100,15.9,346,21.3
0821-2130,15.1,337,20.1
0821-2200,15.1,328,18.4
0821-2230,14.7,317,18.4
0821-2300,14.7,303,16.7
