0823-0800,9.7,188,9.9
0823-0830,9.6,191,10
0823-0900,10.8,205,10.8
0823-0930,9.9,212,9.9
0823-1000,10.2,213,10.2
0823-1030,10.5,217,10.5
0823-1100,10.5,228,10.5
0823-1130,10.1,244,10.2
0823-1200,10.9,249,10.9
0823-1230,11.2,256,11.2
0823-1300,10.6,262,10.6
0823-1330,10.7,272,10.7
0823-1400,12,278,12
0823-1430,10.8,281,10.7
0823-1500,11.2,290,11.2
0823-1530,10.7,294,10.7
0823-1600,10.9,300,10.9
0823-1630,10.3,302,10.3
0823-1700,9.7,302,9.7
0823-1730,9.9,306,10
0823-1800,7.8,308,8.4
0823-1830,5.6,308,9.1
0823-1900,4.9,313,8.3
0823-1930,5.3,318,7.8
0823-2000,4.8,322,6.3
0823-2030,4.4,324,5.6
0823-2100,3.9,323,5.2
0823-2130,3.2,320,5.9
0823-2200,2.9,318,5.5
0823-2230,2.9,306,4.7
0823-2300,2,292,5
0824--070,1.4,289,3.5
0824-0000,1.3,172,2.5
0824-0030,1.7,220,3.4
0824-0100,2.1,248,3.6
0824-0130,1.4,205,3.4
0824-0200,2.6,156,2.6
0824-0230,2.2,183,3
0824-0300,2.8,175,3.4
0824-0330,3,189,3.7
0824-0400,4.2,176,4.2
0824-0430,5.7,171,5.7
0824-0500,6,164,5.9
0824-0530,6.5,162,6.5
0824-0600,6.8,168,6.8
0824-0630,8,165,8
0824-0700,7.8,163,7.8
0824-0730,7.4,170,7.4
0824-0800,7.2,189,7.6
0824-0830,7.6,199,7.6
0824-0900,8,202,8
0824-0930,8.6,211,8.6
0824-1000,7.9,213,8.9
0824-1030,9.1,219,9.1
0824-1100,8.6,234,8.7
0824-1130,9.9,243,9.9
0824-1200,9,256,9
0824-1230,8.8,257,8.8
0824-1300,8.8,264,9.1
0824-1330,8.7,274,9.6
0824-1400,9.7,281,9.7
0824-1430,10.1,290,10.1
0824-1500,10.1,295,10.1
0824-1530,10.1,296,10.1
0824-1600,9.3,302,11.9
0824-1630,11.2,308,11.9
0824-1700,10.1,314,11.4
0824-1730,9.6,327,13.4
0824-1800,8.1,334,12
0824-1830,8.4,338,12
0824-1900,8.7,337,11.4
0824-1930,6.7,341,10
0824-2000,6.5,342,9.9
0824-2030,6.5,347,8
0824-2100,6,355,8.4
0824-2130,4.9,358,6.6
0824-2200,3.2,358,7
0824-2230,2.1,040,5.5
0824-2300,4.6,124,4.6
