0824-0800,7.3,176,7.3
0824-0830,7.5,195,7.5
0824-0900,7.9,198,7.9
0824-0930,8.7,212,8.7
0824-1000,9,215,9
0824-1030,7.8,229,7.8
0824-1100,8.3,240,8.3
0824-1130,9.2,243,9.2
0824-1200,9.3,249,9.3
0824-1230,8.7,252,8.7
0824-1300,8.1,264,8.1
0824-1330,8.7,263,8.7
0824-1400,8.8,267,8.8
0824-1430,8.2,278,8.2
0824-1500,8.6,285,8.6
0824-1530,8.9,293,8.9
0824-1600,9.3,300,10
0824-1630,9.8,303,10.7
0824-1700,9.2,313,10.8
0824-1730,9.6,316,10.4
0824-1800,9.2,318,10.3
0824-1830,9.5,321,9.5
0824-1900,8.4,326,9.4
0824-1930,8.3,327,8.8
0824-2000,7.2,330,7.9
0824-2030,5.5,337,8.4
0824-2100,4.5,332,6.6
0824-2130,3.4,343,5.9
0824-2200,3.4,345,4.6
0824-2230,1.9,103,1.9
0824-2300,4.3,118,4.3
0825--070,3.9,122,3.9
0825-0000,4.4,125,4.4
0825-0030,5.1,126,5.1
0825-0100,5.3,138,5.3
0825-0130,5.6,140,5.6
0825-0200,5.4,137,5.4
0825-0230,4.4,137,4.4
0825-0300,4.9,126,4.9
0825-0330,6,125,6
0825-0400,6.1,124,6.1
0825-0430,6.2,129,6.2
0825-0500,6.2,129,6.2
0825-0530,6.9,130,6.9
0825-0600,7,133,7
0825-0630,6.9,143,6.9
0825-0700,6.6,145,7.4
0825-0730,6.1,158,8.5
0825-0800,7.4,178,8.9
0825-0830,8.1,194,9.3
0825-0900,7.9,200,9.3
0825-0930,8.8,210,8.8
0825-1000,9.2,221,9.2
0825-1030,9.6,222,9.6
0825-1100,10.6,224,10.6
0825-1130,9.6,228,9.6
0825-1200,8.5,238,8.5
0825-1230,8,251,8
0825-1300,9.4,258,9.4
0825-1330,9.2,265,9.2
0825-1400,8.7,278,8.7
0825-1430,8.1,283,8.2
0825-1500,9.2,280,9.2
0825-1530,8.3,288,9.8
0825-1600,7.9,295,9.6
0825-1630,8.1,300,9.6
0825-1700,8.4,302,9.3
0825-1730,7.1,313,9.1
0825-1800,6.8,313,8.4
0825-1830,5.4,315,7.7
0825-1900,4.5,301,6.2
0825-1930,3.1,306,4
0825-2000,2,327,4
0825-2030,2.3,310,4.9
0825-2100,1.3,297,4.6
0825-2130,1.6,280,2.4
0825-2200,1.5,291,4
0825-2230,2.6,255,4.1
0825-2300,1.7,229,4.2
